Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”,Name: “Table 1 of 1 on page 128 of 219”
Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125
,,,,,,,,
,COMMUNITY DEVELOPMENT,COMMUNITY DEVELOPMENT,COMMUNITY DEVELOPMENT,COMMUNITY DEVELOPMENT,,,,
Major Departmental Functions,,,,,,,,
* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.,* Participate in agencies which provide services that improve the quality of life for citizens of Poquoson.
,,,,,FY 2012,FY 2012,FY 2013,FY 2013
,,FY 2010,,FY 2011,Revised,Revised,Adopted,Adopted
Budget Detail,,Actual,,Actual,,Budget,,Budget
Litter Control Grant,$,"5,137",$,"6,005",$,"5,000",$,-
Contributions to Agencies:,,,,,,,,
American Red Cross -- York/Poquoson Chapter,,-,,-,,500,,-
CASA,,-,,-,,500,,-
Commission on Homelessness,,"2,781",,"2,781",,"2,781",,"2,781"
Disabilities Transportation,,"6,000",,"6,000",,"4,000",,"3,800"
Green Jobs Alliance,,"1,179",,-,,"2,376",,-
Hampton Roads Economic Development,,"11,858",,"11,238",,"11,204",,"11,543"
Heritage Park Project,,"1,950",,-,,-,,-
Hampton Roads Planning District Comm (HRPDC),,"9,691",,"9,691",,"9,688",,"9,720"
HRPDC Municipal Construction Standards,,375,,375,,378,,389
HRPDC Other Projects,,"3,949",,"3,949",,"4,587",,"4,654"
HRPDC Regional Groundwater Mitigation,,"3,461",,"3,461",,"3,452",,"3,452"
HRPDC Stormwater Management Program,,"10,066",,"10,066",,"11,905",,"11,905"
HR Military/Federal Facilities Alliance,,"5,932",,"5,318",,"5,400",,"6,075"
Jamestown 2007 400th Celebration,,"11,240",,-,,-,,-
NASA Aeronautics Support Team (NAST),,"5,000",,"5,590",,"6,000",,"6,000"
Peninsula Chamber of Commerce,,"1,750",,"1,750",,"1,750",,"1,660"
Peninsula Council Workforce Development,,"5,847",,"5,847",,"5,847",,"5,847"
Peninsula Emergency Medical Services,,"1,156",,"1,156",,"1,180",,"1,215"
Peninsula Workforce Development Center,,-,,-,,-,,-
Poquoson Museum Foundation,,-,,"40,487",,"29,640",,"30,888"
Poquoson Historical Commission,,500,,500,,500,,-
Regional Air Service Enhancement Fund (RAISE),,"4,767",,"4,767",,"4,767",,"4,860"
Retired Senior Volunteer Program,,"2,750",,"2,750",,"2,750",,"2,750"
Small Business Development Center,,"3,000",,"3,000",,"3,000",,"2,850"
Thomas Nelson Community College,,"28,647",,"29,424",,"27,230",,"27,230"
Transitions Family Violence Services,,"1,750",,"1,750",,"1,750",,"1,660"
YMCA Contribution,,"10,000",,"10,000",,-,,-
Totals,$,"138,786",$,"165,905",$,"146,185",$,"139,279"
Significant Budget Items,,,,,,,,
"* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding","* Hampton Roads Planning District Commission provides oversight for various projects, total funding"
"for HRPDC is $30,120 for FY 2013.",,,,,,,,
"* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th","* Poquoson Museum Foundation funding in the amount of $30,888 for FY 2013 is a forgiveness of 1/10th"
of the deed of trust note with the City as well as the interest relating to that note.,of the deed of trust note with the City as well as the interest relating to that note.,of the deed of trust note with the City as well as the interest relating to that note.,of the deed of trust note with the City as well as the interest relating to that note.,of the deed of trust note with the City as well as the interest relating to that note.,,,,
,91,,,,,,,
