Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”,Name: “Table 1 of 1 on page 85 of 219”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,,,,,
,,POLICE,POLICE,,,,,
Expenditures Summary,,,,,,,,
,,,,,,,$,%
,,,FY 2012,,FY 2013,,Change,Change
,FY 2010,FY 2011,Revised,,Adopted,From 2012,From 2012,From 2012
,Actual,Actual,Budget,,Budget,,Budget,Budget
Personal Services,"$ 1,647,358","$ 1,681,712","$ 1,806,889",$,"1,909,142",$,"102,253",5.7%
Operating Expenses,"598,060","665,523","592,197",,"580,036",,"(12,161)",-2.1%
Capital Outlay,"6,363","34,661","19,840",,-,,"(19,840)",-100.0%
Totals,"$ 2,251,781","$ 2,381,896","$ 2,418,926",$,"2,489,178",$,"70,252",2.9%
Personnel Summary,,,,,,,,
,,FY 2010,FY 2011,,FY 2012,,FY 2013,
,,Authorized,Authorized,,Authorized,,Authorized,
Police Chief,,1,1,,1,,1,
Captain,,1,1,,1,,1,
Lieutenant,,1,1,,1,,1,
Sergeant/EMT,,2,2,,2,,2,
Sergeant,,2,2,,2,,2,
Detective/Sergeant/EMT,,1,1,,1,,1,
Corporal/EMT,,1,1,,1,,1,
Corporal,,0,0,,3,,3,
Master Patrolman/EMT,,2,1,,2,,2,
Master Patrolman,,4,4,,2,,2,
Detective/Master Patrolman/EMT,Detective/Master Patrolman/EMT,1,1,,0,,0,
Detective/Master Patrolman,Detective/Master Patrolman,1,1,,2,,2,
Police Officer/EMT,,1,2,,1,,1,
Police Officer,,4,4,,3,,4,
Administrative Support Technician,Administrative Support Technician,1,0,,0,,0,
Administrative Assistant,,0,1,,1,,1,
Part Time Clerical (FTE),,0,0,,0,,0,
Part Time Officer (FTE),,0.5,0.5,,0.5,,0.5,
Totals,,23.5,23.5,,23.5,,24.5,
Goals and Objectives,,,,,,,,
* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,
Commission.,,,,,,,,
"* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment."
"* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and"
conducting complex criminal investigations.,conducting complex criminal investigations.,conducting complex criminal investigations.,,,,,,
* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,,,
* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,
* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn
members.,,,,,,,,
"* Expand the ""Holiday Patrol Program"".","* Expand the ""Holiday Patrol Program"".",,,,,,,
* Continue to provide opportunities for leadership development.,* Continue to provide opportunities for leadership development.,* Continue to provide opportunities for leadership development.,* Continue to provide opportunities for leadership development.,,,,,
,,48,,,,,,
