Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”,Name: “Table 1 of 1 on page 87 of 219”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,,,
,,FIRE,FIRE,,,,,
Expenditures Summary,,,,,,,,
,,,,,,,$,%
,,,,FY 2012,FY 2013,,Change,Change
,FY 2010,FY 2011,,Revised,Adopted,From 2012,From 2012,From 2012
,Actual,Actual,,Budget,Budget,,Budget,Budget
Personal Services,"$ 2,119,852","$ 1,975,342",$,"2,178,604","$ 2,243,039",$,"64,435",3.0%
Operating Expenses,"295,212","423,337",,"462,248","410,815",,"(51,433)",-11.1%
Capital Outlay,"27,168","21,303",,"37,500","5,500",,"(32,000)",-85.3%
Totals,"$ 2,442,232","$ 2,419,982",$,"2,678,352","$ 2,659,354",$,"(18,998)",-0.7%
Personnel Summary,,FY 2010,,FY 2011,FY 2012,,FY 2013,
,,Authorized,,Authorized,Authorized,,Authorized,
Fire Chief,,1,,1,1,,1,
Deputy Fire Chief,,1,,1,1,,1,
Battalion Chief,,3,,3,3,,3,
Fire Lieutenant/Paramedic,,1,,1,2,,1,
Fire Lieutenant/Intermediate,,1,,1,0,,1,
Fire Lieutenant,,1,,1,1,,1,
Fire Engineer/Inspector,,2,,2,0,,0,
Fire Fighter/Paramedic,,7,,7,6,,16,
Fire Fighter/Intermediate,,8,,8,11,,0,
Fire Fighter/Enhanced,,1,,1,1,,2,
Fire Fighter/EMT,,3,,3,3,,3,
Administrative Secretary,,1,,1,1,,1,
Totals,,30,,30,30,,30,
Goals and Objectives,,,,,,,,
* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.,* Improve training program through increased teaching aids and equipment and offering more basic classes.
* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.,* Continue to refine and improve our fire prevention program and develop a Master Firefighter Program.
* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II,* Cooperative effort between the City of Hampton and the City of Poquoson to conduct a Firefighter I and II
class.,,,,,,,,
* To further develop our Marine Program.,* To further develop our Marine Program.,* To further develop our Marine Program.,,,,,,
* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the,* Seek out and apply for various grants to assist with training or equipment or programs enhancing the
department.,,,,,,,,
* Finalizing automatic Mutual Aid with York County and the City of Hampton.,* Finalizing automatic Mutual Aid with York County and the City of Hampton.,* Finalizing automatic Mutual Aid with York County and the City of Hampton.,* Finalizing automatic Mutual Aid with York County and the City of Hampton.,* Finalizing automatic Mutual Aid with York County and the City of Hampton.,* Finalizing automatic Mutual Aid with York County and the City of Hampton.,,,
,,50,,,,,,
