Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”,Name: “Table 1 of 1 on page 31 of 34”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,
POPULATION AND AGE,POPULATION AND AGE,,,,,,
"As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of"
population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,,,
"Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010",,,,
Year,City of Norfolk,City of Norfolk,Commonwealth of Virginia,Commonwealth of Virginia,U.S.,,
,Number,Percent,Number,Percent,Number,Percent,
1960,"305,872",--,"3,966,949",--,"179,323,175",--,
1970,"307,951",0.68%,"4,648,494",17.2%,"203,211,926",13.32%,
1980,"266,979",-13.30%,"5,346,818",15.0%,"226,545,805",11.48%,
1990,"261,229",-2.15%,"6,187,358",15.7%,"248,709,873",9.78%,
2000,"234,403",-10.27%,"8,001,024",29.3%,"281,421,906",13.15%,
2010,"242,803",3.58%,"7,078,515",-11.5%,"308,745,538",9.71%,
"Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census",,,
"Table 8: Population Distribution by Age , 1960-2010","Table 8: Population Distribution by Age , 1960-2010","Table 8: Population Distribution by Age , 1960-2010","Table 8: Population Distribution by Age , 1960-2010",,,,
Year,Population,% Under 20,% Under 20,% 20 to 64,% 65 and over,Median Age,
1960,"305,872",,39.8%,54.5%,5.7%,N/A,
1970,"307,951",,35.4%,57.8%,6.8%,N/A,
1980,"266,979",,30.7%,60.1%,9.2%,N/A,
1990,"261,229",,28.2%,61.5%,10.5%,N/A,
2000,"234,403",,28.6%,60.5%,10.9%,29.6,
2009,"233,333",,28.3%,61.8%,9.9%,29.4,
2010,"243,135",,25.0%,65.2%,9.7%,29.8,
"Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010",,
,,,,,Miscellaneous Statistical Information,Miscellaneous Statistical Information,513
