Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”,Name: “Table 1 of 1 on page 34 of 34”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,,,,,
,,,,Residential Construction,Residential Construction,Residential Construction,Residential Construction,,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction
,Year,Building,Building,Number of,Number of,Estimated Value,Estimated Value,Estimated Value,Building,Building,Estimated Value (in,Estimated Value (in,Estimated Value (in
,,Permits,Permits,,Units,(in thousands),(in thousands),(in thousands),Permits,Permits,,thousands),thousands)
,2001,,186,,400,,"35,069","35,069",,35,,,"62,046"
,2002,,290,,462,,"44,498","44,498",,53,,,"51,451"
,2003,,286,,597,,"61,582","61,582",,41,,,"32,262"
,2004,,506,,766,,"83,525","83,525",,71,,,"14,658"
,2005,,560,,"1,191",,"204,391","204,391",,80,,,"80,316"
,2006,,531,,"1,058",,"133,053","133,053",,60,,,"165,989"
,2007,,389,,491,,"688,476","688,476",,55,,,"81,396"
,2008,,277,,815,,"101,212","101,212",,35,,,"102,714"
,2009,,209,,535,,"35,878","35,878",,38,,,"138,131"
,2010,,191,,621,,"58,729","58,729",,35,,,"104,922"
,2011,,221,,479,,"37,298","37,298",,27,,,"40,073"
Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,
UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,,,,,,,,,,,
