Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,
,,Strategic Priority: Public Accountability,Strategic Priority: Public Accountability,Strategic Priority: Public Accountability,Strategic Priority: Public Accountability,,
Goal,,,,,,,
To provide high quality automotive service and support to City departments.,To provide high quality automotive service and support to City departments.,To provide high quality automotive service and support to City departments.,To provide high quality automotive service and support to City departments.,To provide high quality automotive service and support to City departments.,To provide high quality automotive service and support to City departments.,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Average vehicle/equipment downtime.,Average vehicle/equipment downtime.,Average vehicle/equipment downtime.,45,46,46,46,0
Number of work orders per month.,Number of work orders per month.,Number of work orders per month.,"1,153","1,153","1,153","1,153",0
Number of work orders per mechanic.,Number of work orders per mechanic.,Number of work orders per mechanic.,32,31,30,30,0
Fleet vehicle/equipment availability-,Fleet vehicle/equipment availability-,Fleet vehicle/equipment availability-,,,,,
,,,91,91,92,92,0
uptime.,,,,,,,
Repairs completed in less than one day.,Repairs completed in less than one day.,Repairs completed in less than one day.,77,76,76,76,0
Repairs completed in one to two days.,Repairs completed in one to two days.,Repairs completed in one to two days.,9,9,9,9,0
Repairs completed in more than 2 days.,Repairs completed in more than 2 days.,Repairs completed in more than 2 days.,15,15,15,15,0
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Administrative Assistant II,Administrative Assistant II,MAP003,"32,158","51,407",1,0,1
Administrative Technician,Administrative Technician,OPS008,"27,697","44,276",2,0,2
Assistant Fleet Maintenance,Assistant Fleet Maintenance,,,,,,
,,MAP011,"52,582","84,061",1,0,1
Manager,,,,,,,
Autobody Repair Mechanic,Autobody Repair Mechanic,OPS008,"27,697","44,276",1,0,1
Automotive Machinist,Automotive Machinist,OPS010,"32,456","51,882",1,0,1
Automotive Maintenance,Automotive Maintenance,,,,,,
,,MAP007,"40,874","65,345",4,0,4
Operations Manager,Operations Manager,,,,,,
Automotive Parts Operations,Automotive Parts Operations,,,,,,
,,MAP007,"40,874","65,345",1,0,1
Manager,,,,,,,
Automotive Repair,Automotive Repair,,,,,,
,,OPS009,"29,968","47,912",17,0,17
Technician,,,,,,,
Automotive Service,Automotive Service,,,,,,
,,OPS006,"23,724","37,926",6,0,6
Attendant,,,,,,,
Fleet Coordinator,,MAP006,"38,452","61,471",1,0,1
Fleet Maintenance Manager,Fleet Maintenance Manager,SRM005,"60,947","107,266",1,0,1
344,Fleet Management,,,,,,
