Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”,Name: “Table 1 of 1 on page 129 of 231”
Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126
,,,,,,,,
,NON-DEPARTMENTAL,NON-DEPARTMENTAL,NON-DEPARTMENTAL,NON-DEPARTMENTAL,NON-DEPARTMENTAL,NON-DEPARTMENTAL,,
Major Departmental Functions,,,,,,,,
* Account for expenses that are not readily classified in other areas.,* Account for expenses that are not readily classified in other areas.,* Account for expenses that are not readily classified in other areas.,* Account for expenses that are not readily classified in other areas.,* Account for expenses that are not readily classified in other areas.,,,,
"* Refund overpayment by citizens of local taxes, licenses and fees.","* Refund overpayment by citizens of local taxes, licenses and fees.","* Refund overpayment by citizens of local taxes, licenses and fees.","* Refund overpayment by citizens of local taxes, licenses and fees.","* Refund overpayment by citizens of local taxes, licenses and fees.",,,,
* Hold funds in reserve for any contingent situations which may occur.,* Hold funds in reserve for any contingent situations which may occur.,* Hold funds in reserve for any contingent situations which may occur.,* Hold funds in reserve for any contingent situations which may occur.,* Hold funds in reserve for any contingent situations which may occur.,,,,
,,,,,FY 2011,FY 2011,FY 2012,
,FY 2009,FY 2009,FY 2010,FY 2010,Revised,Revised,Adopted,
Budget Detail,,Actual,,Actual,,Budget,,Budget
Refunds,$,(116),$,(348),$,-,$,-
Treasurer Cash Overages/Shortages,,10,,(44),,-,,-
Bank Charges/Returned Checks,,"15,000",,"46,373",,-,,-
Contingencies,,"34,880",,"3,398",,"34,300",,"40,000"
Hurricane Ida Recovery,,,,,,,,
Personal Services,,-,,"35,217",,-,,-
Operating Expenses,,-,,"126,062",,-,,-
Capital Outlay,,-,,"7,312",,-,,-
Totals,$,"49,774",$,"217,970",$,"34,300",$,"40,000"
Significant Budget Items,,,,,,,,
* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,* Increase in Contingencies to pay for any unforeseen expenses throughout the City.,,
"* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm.","* FY 2010 Hurricane Ida Recovery of $168,591 for the expenditures for the November 2009 storm."
The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody,The City suffered severe flooding for several days creating debris including household items and woody
waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state,waste including tree limbs requiring disposal. City staff and equipment restored the City to its original state
within 6 months of the storm.,,,,,,,,
,,93,,,,,,
