Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”,Name: “Table 1 of 1 on page 60 of 231”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,,,
,,,CITY COUNCIL,CITY COUNCIL,CITY COUNCIL,CITY COUNCIL,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2011,FY 2011,FY 2012,FY 2012,Change,Change,Change
,,FY 2009,,FY 2010,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"48,322",$,"48,095",$,"47,951",$,"48,100",$,149,0.3%
Operating Expenses,,"23,461",,"17,242",,"18,320",,"21,905",,"3,585",19.6%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"71,783",$,"65,337",$,"66,271",$,"70,005",$,"3,734",5.6%
Personnel Summary,,,,,,,,,,,
,,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
City Clerk,,,,0.4,,0.4,,0.4,,0.4,
Totals,,,,0.4,,0.4,,0.4,,0.4,
"* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council","* In Personal Services, a minimal amount is budgeted as a stipend to the City Mayor and six City Council",
"Members. All 7 members' stipends total $8,700 a year.","Members. All 7 members' stipends total $8,700 a year.","Members. All 7 members' stipends total $8,700 a year.","Members. All 7 members' stipends total $8,700 a year.","Members. All 7 members' stipends total $8,700 a year.",,,,,,,
Goals and Objectives,,,,,,,,,,,
* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,* Promote economic development opportunities as a means of bringing balance to local revenue,
generation.,,,,,,,,,,,
* Improve drainage throughout the City.,* Improve drainage throughout the City.,* Improve drainage throughout the City.,,,,,,,,,
* To provide outstanding leadership on behalf of the citizens.,* To provide outstanding leadership on behalf of the citizens.,* To provide outstanding leadership on behalf of the citizens.,* To provide outstanding leadership on behalf of the citizens.,* To provide outstanding leadership on behalf of the citizens.,* To provide outstanding leadership on behalf of the citizens.,* To provide outstanding leadership on behalf of the citizens.,,,,,
,,,,24,,,,,,,
