Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”,Name: “Table 1 of 1 on page 84 of 231”
Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81
,,,,,,,,
,,POLICE,POLICE,,,,,
Expenditures Summary,,,,,,,,
,,,,,,,$,%
,,,FY 2011,,FY 2012,,Change,Change
,FY 2009,FY 2010,Revised,,Adopted,From 2011,From 2011,From 2011
,Actual,Actual,Budget,,Budget,,Budget,Budget
Personal Services,"$ 1,694,032","$ 1,647,358","$ 1,723,079",$,"1,777,761",$,"54,682",3.2%
Operating Expenses,"563,523","598,060","680,342",,"561,316",,"(119,026)",-17.5%
Capital Outlay,"26,730","6,363",-,,-,,-,n/a
Totals,"$ 2,284,285","$ 2,251,781","$ 2,403,421",$,"2,339,077",$,"(64,344)",-2.7%
Personnel Summary,,,,,,,,
,,FY 2009,FY 2010,,FY 2011,,FY 2012,
,,Authorized,Authorized,,Authorized,,Authorized,
Police Chief,,1,1,,1,,1,
Captain,,1,1,,1,,1,
Lieutenant,,1,1,,1,,1,
Supervisor of Support Services,Supervisor of Support Services,1,0,,0,,0,
Sergeant/EMT,,2,2,,2,,2,
Sergeant,,2,2,,2,,2,
Detective/Sergeant/EMT,,1,1,,1,,1,
Corporal/EMT,,1,1,,1,,1,
Corporal,,0,0,,0,,3,
Master Patrolman/EMT,,2,2,,1,,2,
Master Patrolman,,1,4,,4,,2,
Detective/Master Patrolman/EMT,Detective/Master Patrolman/EMT,1,1,,1,,0,
Detective/Master Patrolman,Detective/Master Patrolman,0,1,,1,,2,
Police Officer/EMT,,1,1,,2,,1,
Police Officer,,7,4,,4,,3,
Administrative Support Technician,Administrative Support Technician,1,1,,0,,0,
Administrative Assistant,,0,0,,1,,1,
Clerical,,1,0,,0,,0,
Part Time Clerical (FTE),,0,0,,0,,0,
Part Time Officer (FTE),,0.5,0.5,,0.5,,0.5,
Totals,,24.5,23.5,,23.5,,23.5,
Goals and Objectives,,,,,,,,
* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,* Continue to pursue accredited status through the Virginia Law Enforcement Professional Standards,
Commission.,,,,,,,,
"* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment."
"* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and"
conducting complex criminal investigations.,conducting complex criminal investigations.,conducting complex criminal investigations.,,,,,,
* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,,,
* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,* Continue to provide opportunities for leadership development training for new supervisors.,
,,48,,,,,,
