Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”,Name: “Table 1 of 1 on page 131 of 166”
Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131
,,,,,,,,,,,,,,,
,,,Capital Project Detail,Capital Project Detail,Capital Project Detail,Capital Project Detail,,,,,,,,,
,,PREVIOUSLY,PREVIOUSLY,,,,,,,,,,,,
,,FUNDED,FUNDED,,,,,,,,,,,,
,DESCRIPTION,(MEMO ONLY),(MEMO ONLY),FY 10,FY 10,FY 11,FY 11,FY 12,FY 12,FY 13,FY 13,FY 14,FY 14,TOTAL,TOTAL
,Water Supply (105-100),,,,,,,,,,,,,,
2003,PDA Debt Service,"$1,780,000","$1,780,000","$1,648,000","$1,648,000","$1,646,000","$1,646,000","$1,645,000","$1,645,000","$1,648,000","$1,648,000","$1,645,000","$1,645,000",$,"8,232,000"
XXXX,Desalination Plant Membrane Replacement,,0,,0,,0,"430,000","430,000",,0,,0,,"430,000"
,Subtotal,"$1,780,000","$1,780,000","$1,648,000","$1,648,000","$1,646,000","$1,646,000","$2,075,000","$2,075,000","$1,648,000","$1,648,000","$1,645,000","$1,645,000","$ 8,662,000","$ 8,662,000"
,Water Distribution (105-110),,,,,,,,,,,,,,
1300,White Oaks System Replacement,$,0,$,0,$,0,$,0,"$1,200,000","$1,200,000","$1,200,000","$1,200,000",$,"2,400,000"
,Subtotal,$,0,$,0,$,0,$,0,"$1,200,000","$1,200,000","$1,200,000","$1,200,000",$,"2,400,000"
,Water Transmission (105-140),,,,,,,,,,,,,,
1550,Longhill Connector Road Water Main Improvement,$,"293,100",$,"664,000",$,0,$,0,$,0,$,0,$,"664,000"
,Subtotal,$,"293,100",$,"664,000",$,0,$,0,$,0,$,0,$,"664,000"
,Sewer System Improvements (105-150),,,,,,,,,,,,,,
2475,DEQ Consent Order Sewer System Imp,$,"500,000","$1,334,500","$1,334,500","$1,460,500","$1,460,500","$1,036,500","$1,036,500",$,"233,500",$,"236,500",$,"4,301,500"
XXXX,LS 3-8 (John Tyler Hwy) Control Building,,0,,0,,0,"220,000","220,000",,0,,0,,"220,000"
XXXX,LS 4-7 (John Tyler Hwy) Control Building,,0,,0,,0,,0,,0,,"250,000",,"250,000"
XXXX,LS 5-4 (Merrimac Trail) Control Building,,0,,0,,0,,0,,"250,000",,0,,"250,000"
,Subtotal,$,"500,000","$1,334,500","$1,334,500","$1,460,500","$1,460,500","$1,256,500","$1,256,500",$,"483,500",$,"486,500",$,"5,021,500"
,Other Projects (105-160),,,,,,,,,,,,,,
3085,Heavy Equipment,$,"388,642",,"80,000",$,"225,000",$,0,$,0,$,0,$,"305,000"
3105,Building E Rehabilitation,,"110,933",,"105,000",,0,,0,,0,,0,,"105,000"
,Subtotal,$,"499,575",$,"185,000",$,"225,000",$,0,$,0,$,0,$,"410,000"
,GRAND TOTAL,"$3,072,675","$3,072,675","$3,831,500","$3,831,500","$3,331,500","$3,331,500","$3,331,500","$3,331,500","$3,331,500","$3,331,500","$3,331,500","$3,331,500","$17,157,500","$17,157,500"
,,,,Page E-12,Page E-12,,,,,,,,,,
