Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,,,,,,
,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,,,,
SIX-YEAR CAPITAL IMPROVEMENT PLAN,SIX-YEAR CAPITAL IMPROVEMENT PLAN,,,,,,,,,,,,,,
FUNDING SUMMARY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Six Year
,Page,FY 2010,FY 2010,FY 2011,FY 2011,FY 2012,FY 2012,FY 2013,FY 2013,FY 2014,FY 2014,FY 2015,FY 2015,,TOTAL
Bond Proceeds - New Debt,D-10,"$20,700,000","$20,700,000","$11,800,000","$11,800,000",$,"7,000,000",$,"7,000,000",$,-,$,"4,968,000",$,"51,468,000"
Current Resources,D-10,,"7,130,000",,"802,079",,"200,000",,"200,000",,"200,000",,"200,000",,"8,732,079"
Anticipated Revenue,D-10,,"1,389,698",,"2,400,000",,"5,322,016",,"7,090,975",,"7,777,970",,"8,691,920",,"32,672,579"
COUNTY,,"$29,219,698","$29,219,698","$15,002,079","$15,002,079","$12,522,016","$12,522,016","$14,290,975","$14,290,975","$7,977,970","$7,977,970","$13,859,920","$13,859,920",$,"92,872,658"
JCSA Water & Sewer Utility Fees,E-9,,"2,183,500",,"1,685,000",,"1,686,000",,"1,683,000",,"1,686,000",,"1,685,000",,"10,608,500"
,,"$31,403,198","$31,403,198","$16,687,079","$16,687,079","$14,208,016","$14,208,016","$15,973,975","$15,973,975","$9,663,970","$9,663,970","$15,544,920","$15,544,920","$103,481,158","$103,481,158"
INVESTMENT SUMMARY,,,,,,,,,,,,,,,Six Year
,Page,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,TOTAL
SCHOOLS,,,,,,,,,,,,,,,
New Public Facilities,D-4,$,"3,418,568",$,"561,288",$,"1,168,275",$,"654,204",$,"587,457",$,"5,315,756",$,"11,705,548"
Capital Maintenance,D-6,,"4,911,630",,"4,894,537",,"1,749,741",,"3,820,643",,"4,230,513",,"4,814,464",,"24,421,528"
,,$,"8,330,198",$,"5,455,825",$,"2,918,016",$,"4,474,847","$4,817,970","$4,817,970",,"10,130,220",$,"36,127,076"
OTHER COUNTY,,,,,,,,,,,,,,,
New Public Facilities,D-4,"$20,111,000","$20,111,000",$,"8,650,000",$,"1,650,000",$,"8,700,000","$2,150,000","$2,150,000",$,"2,055,500",$,"43,316,500"
Capital Maintenance,D-8,,"778,500",,"896,254",,"7,954,000",,"1,116,128",,"1,010,000",,"1,674,200",,"13,429,082"
,,"$20,889,500","$20,889,500",$,"9,546,254",$,"9,604,000",$,"9,816,128","$3,160,000","$3,160,000",$,"3,729,700",$,"56,745,582"
COUNTY,,"$29,219,698","$29,219,698","$15,002,079","$15,002,079","$12,522,016","$12,522,016","$14,290,975","$14,290,975","$7,977,970","$7,977,970","$13,859,920","$13,859,920",$,"92,872,658"
JCSA,,,,,,,,,,,,,,,
Capital Maintenance,E-12,,"2,183,500",,"1,685,000",,"1,686,000",,"1,683,000",,"1,686,000",,"1,685,000",,"10,608,500"
,,"$31,403,198","$31,403,198","$16,687,079","$16,687,079","$14,208,016","$14,208,016","$15,973,975","$15,973,975","$9,663,970","$9,663,970","$15,544,920","$15,544,920","$103,481,158","$103,481,158"
,,,,,,Page D-1,Page D-1,,,,,,,,
