Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”,Name: “Table 1 of 1 on page 10 of 26”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant I,Accountant I,OPS010,"$33,105","$52,920",1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",2,0,2
Automotive Service Attendant,Automotive Service Attendant,OPS006,"$24,199","$38,684",1,0,1
Civil Engineer II,Civil Engineer II,MAP010,"$50,303","$80,416",2,0,2
Civil Engineer III,Civil Engineer III,MAP011,"$53,634","$85,742",2,1,3
Collection Coordinator,Collection Coordinator,MAP005,"$36,924","$59,029",1,0,1
Construction Inspector II,Construction Inspector II,OPS011,"$35,886","$57,371",1,0,1
Crew Leader I,Crew Leader I,OPS008,"$28,251","$45,161",8,0,8
Crew Leader II,Crew Leader II,OPS009,"$30,567","$48,870",1,0,1
Education Manager,Education Manager,MAP009,"$47,215","$75,483",1,0,1
Engineering Technician II,Engineering Technician II,OPS010,"$33,105","$52,920",2,0,2
Environmental Engineer,Environmental Engineer,MAP009,"$47,215","$75,483",1,0,1
Environmental Specialist I,Environmental Specialist I,OPS010,"$33,105","$52,920",1,0,1
Environmental Specialist II,Environmental Specialist II,OPS012,"$38,936","$62,242",0,1,1
Equipment Operator II,Equipment Operator II,OPS006,"$24,199","$38,684",10,0,10
Equipment Operator III,Equipment Operator III,OPS008,"$28,251","$45,161",14,0,14
Equipment Operator IV,Equipment Operator IV,OPS009,"$30,567","$48,870",1,0,1
Geographic Information,Geographic Information,,,,,,
,,OPS010,"$33,105","$52,920",1,0,1
Systems Technician,Systems Technician,,,,,,
Landscape Coordinator I,Landscape Coordinator I,OPS011,"$35,886","$57,371",1,0,1
Maintenance Worker I,Maintenance Worker I,OPS003,"$19,318","$30,885",15,0,15
Maintenance Worker II,Maintenance Worker II,OPS004,"$20,805","$33,263",1,0,1
Management Analyst II,Management Analyst II,MAP008,"$44,351","$70,899",1,0,1
Manager of Budget &,Manager of Budget &,,,,,,
,,SRM004,"$58,509","$102,977",1,0,1
Accounting,Accounting,,,,,,
Program Administrator,Program Administrator,MAP008,"$44,351","$70,899",1,0,1
Public Information Specialist II,Public Information Specialist II,MAP006,"$39,221","$62,700",1,0,1
Public Services Coordinator I,Public Services Coordinator I,MAP006,"$39,221","$62,700",1,0,1
Recycling Coordinator,Recycling Coordinator,MAP010,"$50,303","$80,416",1,0,1
342,Storm Water Management,,,,,,
