Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”,Name: “Table 1 of 1 on page 8 of 26”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,
,Priority: Environmental Sustainability,Priority: Environmental Sustainability,Priority: Environmental Sustainability,Priority: Environmental Sustainability,,,
Goal,,,,,,,
Reduce the negative impacts of coastal flooding,Reduce the negative impacts of coastal flooding,,,,,,
Objective,,,,,,,
Keep Norfolk's drain structures clean and free from debris,Keep Norfolk's drain structures clean and free from debris,Keep Norfolk's drain structures clean and free from debris,,,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013,
Measure,,,,,,,Change
,,Actual,Actual,Actual,Approved,Approved,
Increase number of drain structures cleaned,Increase number of drain structures cleaned,,,,,,
,,"6,280",,"3,757","5,000","7,500","2,500"
annually,,,,,,,
REVENUE S UMMARY,REVENUE S UMMARY,,,,,,
,,FY 2010,FY 2010,,FY 2011,FY 2012,FY 2013
,,Actual,Actual,,Actual,Approved,Approved
Use of Money and Property,Use of Money and Property,"$15,452","$15,452",,"$6,824","$2,400","$2,400"
Charges for Services,,"$11,055,514","$11,055,514","$11,721,299","$11,721,299","$12,497,600","$14,187,800"
Miscellaneous Revenue,Miscellaneous Revenue,,$0,,"$29,679",$0,$0
Other Sources and Transfers In,Other Sources and Transfers In,,$0,,$0,$0,"$1,000,000"
Federal Aid,,,$0,,"$256,118",$0,$0
Total,,"$11,070,966","$11,070,966","$12,013,920","$12,013,920","$12,500,000","$15,190,200"
EXPENDITURE S UMMARY,EXPENDITURE S UMMARY,,,,,,
,,FY 2010,FY 2010,,FY 2011,FY 2012,FY 2013
,,Actual,Actual,,Actual,Approved,Approved
Personnel Services,,"$4,349,014","$4,349,014","$4,397,373","$4,397,373","$4,465,196","$4,733,948"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs","$1,292,637","$1,292,637","$1,308,733","$1,308,733","$2,673,400","$2,784,730"
Contractual Services,,"$809,121","$809,121",,"$850,496","$630,157","$533,997"
Equipment,,"$557,625","$557,625",,"$452,056","$1,425,225","$1,425,225"
All Purpose Appropriations,All Purpose Appropriations,"$615,600","$615,600",,"$746,320","$746,320","$837,398"
Debt Service,,"$2,301,267","$2,301,267","$2,521,653","$2,521,653","$2,559,702","$4,874,902"
Total,,"$9,925,264","$9,925,264","$10,276,633","$10,276,633","$12,500,000","$15,190,200"
APPROVED FY 2013 BUDGET ACTIONS,APPROVED FY 2013 BUDGET ACTIONS,,,,,,
•,Update personnel expenditures,,,FY 2013:,,"$40,445",
,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the
,"position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and"
,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.
,"The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,"
