Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”,Name: “Table 1 of 1 on page 13 of 26”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,
E XPENDITURE S UMMARY,E XPENDITURE S UMMARY,,,,,,,
,,FY 2010,FY 2010,FY 2011,,FY 2012,FY 2012,FY 2013
,,Actual,Actual,Actual,Approved,Approved,Approved,Approved
Personnel Services,,"$531,220","$531,220","$517,346",,"$530,097","$530,097","$517,703"
"Materials, Supplies and Repairs",,"$61,742","$61,742","$58,800",,"$41,093","$41,093","$53,525"
Contractual Services,,"$907,894","$907,894","$851,593","$1,005,640","$1,005,640","$1,005,640","$1,005,602"
Equipment,,"$6,405","$6,405","$7,289",,"$10,000","$10,000","$10,000"
All Purpose Appropriations,,"$170,912","$170,912","$76,412",,"$117,170","$117,170","$117,170"
Debt Service,,,$0,"$19,272",,,$0,$0
Total,,"$1,678,173","$1,678,173","$1,530,712","$1,704,000","$1,704,000","$1,704,000","$1,704,000"
A PPROVED FY 2013 B UDGET A CTIONS,A PPROVED FY 2013 B UDGET A CTIONS,,,,,,,
•,Update personnel expenditures,,,FY 2013:,"($18,767)","($18,767)",,
,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the,Technical adjustment to update the department’s cost for personnel services. The position count shown in the
,"position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and","position summary table reflects updates in staffing due to administrative actions, creation, consolidations, and"
,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.,reorganization efforts. This adjustment reflects the corresponding funding needed in FY 2013 for these actions.
,"The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,","The adjustment also reflects rate revisions for contributions related to the Norfolk Employee Retirement System,"
