Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,
Position Summary,,,,,,,
,,,,FY 2011,,FY 2012,FY 2012
,,,,Approved,,Approved,Approved
,Pay Grade,Minimum,Maximum,Positions,Change,Positions,Positions
Civil Engineer II,MAP010,"49,317","78,839",2,0,,2
Civil Engineer III,MAP011,"52,582","84,061",3,0,,3
Civil Engineer IV,MAP012,"56,106","89,693",2,0,,2
Civil Engineer V,MAP013,"59,911","95,776",1,0,,1
Collection Coordinator,MAP005,"36,200","57,872",2,0,,2
Construction Inspector I,OPS009,"29,968","47,912",7,0,,7
Construction Inspector II,OPS011,"35,182","56,247",5,0,,5
Construction Inspector III,MAP007,"40,874","65,345",2,0,,2
Contract Monitoring,,,,,,,
,MAP005,"36,200","57,872",1,0,,1
Specialist,,,,,,,
Crew Leader I,OPS008,"27,697","44,276",15,0,,15
Cross-Connection Specialist,OPS009,"29,968","47,912",3,0,,3
Data Quality Control Manager,OPS010,"32,456","51,882",1,0,,1
Director of Utilities,EXE003,"86,070","148,838",1,0,,1
Electronics Technician II,OPS010,"32,456","51,882",4,0,,4
Engineering Aide,OPS005,"21,987","35,150",2,0,,2
Engineering Manager,SRM006,"64,848","114,132",1,0,,1
Engineering Technician I,OPS009,"29,968","47,912",7,0,,7
Engineering Technician II,OPS010,"32,456","51,882",4,0,,4
Engineering Technician III,OPS011,"35,182","56,247",1,0,,1
Engineering Technician IV,OPS012,"38,172","61,021",1,0,,1
Enterprise Controller,MAP012,"56,106","89,693",1,0,,1
Equipment Operator II,OPS006,"23,724","37,926",12,0,,12
Equipment Operator III,OPS008,"27,697","44,276",7,0,,7
General Utility Maintenance,,,,,,,
,MAP008,"43,481","69,509",9,0,,9
Supervisor,,,,,,,
Maintenance Supervisor II,MAP007,"40,874","65,345",1,0,,1
Maintenance Worker I,OPS003,"18,939","30,279",6,0,,6
Maintenance Worker II,OPS004,"20,397","32,611",25,0,,25
Management Services,,,,,,,
,SRM004,"57,362","100,958",1,0,,1
Administrator,,,,,,,
Manager of Budget &,,,,,,,
,SRM004,"57,362","100,958",1,0,,1
Accounting,,,,,,,
Messenger/Driver,OPS003,"18,939","30,279",1,0,,1
Office Assistant,OPS003,"18,939","30,279",1,0,,1
Personnel Specialist,MAP005,"36,200","57,872",1,0,,1
Programmer/Analyst III,ITM002,"43,682","69,831",1,0,,1
Programmer/Analyst IV,ITM003,"46,586","74,474",2,0,,2
Programmer/Analyst V,ITM005,"53,063","84,826",1,0,,1
Project Coordinator,MAP008,"43,481","69,509",1,0,,1
Project Manager,MAP010,"49,317","78,839",1,0,,1
,,,,,,Water,327
