Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”,Name: “Table 1 of 1 on page 18 of 18”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant III,Accountant III,MAP006,"38,452","61,471",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",7,-1,6
Administrative Analyst,Administrative Analyst,MAP008,"43,481","69,509",1,-1,0
Administrative Assistant II,Administrative Assistant II,MAP003,"32,158","51,407",1,-1,0
Administrative Secretary,Administrative Secretary,OPS009,"29,968","47,912",1,0,1
Business Manager,Business Manager,MAP008,"43,481","69,509",1,-1,0
Collection Coordinator,Collection Coordinator,MAP005,"36,200","57,872",1,0,1
Crew Leader I,Crew Leader I,OPS008,"27,697","44,276",2,0,2
Customer Service,Customer Service,,,,,,
,,OPS004,"20,397","32,611",44,-4,40
Representative,Representative,,,,,,
Electrician II,Electrician II,OPS009,"29,968","47,912",1,-1,0
Enterprise Controller,Enterprise Controller,MAP012,"56,106","89,693",1,0,1
Maintenance Mechanic II,Maintenance Mechanic II,OPS008,"27,697","44,276",2,0,2
Maintenance Supervisor II,Maintenance Supervisor II,MAP007,"40,874","65,345",1,0,1
Maintenance Worker I,Maintenance Worker I,OPS003,"18,939","30,279",12,0,12
Maintenance Worker II,Maintenance Worker II,OPS004,"20,397","32,611",2,0,2
Meter Monitor,Meter Monitor,OPS004,"20,397","32,611",10,-1,9
Office Assistant,Office Assistant,OPS003,"18,939","30,279",1,-1,0
Painter I,Painter I,OPS007,"25,622","40,963",1,0,1
Parking Administrator,Parking Administrator,MAP009,"46,289","74,003",1,0,1
Parking Director,Parking Director,SRM004,"57,362","100,958",1,0,1
Parking Manager,Parking Manager,MAP007,"40,874","65,345",1,0,1
Parking Supervisor,Parking Supervisor,MAP002,"30,344","48,508",6,0,6
Public Services Coordinator I,Public Services Coordinator I,MAP006,"38,452","61,471",1,-1,0
Software Analyst,Software Analyst,ITM002,"43,682","69,831",1,0,1
Total,Total,,,,101,,89
334,Parking Facilities Fund,,,,,,
