Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Public Information Specialist,Public Information Specialist,,,,,,
,,MAP006,"38,452","61,471",1,0,1
II,,,,,,,
Reservoir Manager,Reservoir Manager,MAP005,"36,200","57,872",1,0,1
Safety Specialist,Safety Specialist,OPS011,"35,182","56,247",1,0,1
Senior Codes Specialist,Senior Codes Specialist,OPS012,"38,172","61,021",1,0,1
Senior Utility Maintenance,Senior Utility Maintenance,,,,,,
,,OPS012,"38,172","61,021",6,0,6
Supervisor,Supervisor,,,,,,
Senior Water Chemist,Senior Water Chemist,MAP007,"40,874","65,345",2,0,2
Staff Technician II,Staff Technician II,OPS009,"29,968","47,912",3,0,3
Support Technician,Support Technician,OPS006,"23,724","37,926",3,0,3
Utility Construction Inspector,Utility Construction Inspector,OPS011,"35,182","56,247",1,0,1
Utility Customer Service,Utility Customer Service,,,,,,
,,SRM004,"57,362","100,958",1,0,1
Manager,Manager,,,,,,
Utility Maintenance Mechanic,Utility Maintenance Mechanic,,,,,,
,,OPS007,"25,622","40,963",26,0,26
I,,,,,,,
Utility Maintenance Mechanic,Utility Maintenance Mechanic,,,,,,
,,OPS008,"27,697","44,276",3,0,3
II,,,,,,,
Utility Maintenance Mechanic,Utility Maintenance Mechanic,,,,,,
,,OPS009,"29,968","47,912",2,0,2
III,,,,,,,
Utility Maintenance,Utility Maintenance,,,,,,
,,OPS011,"35,182","56,247",11,0,11
Supervisor,Supervisor,,,,,,
Utility Operations Manager,Utility Operations Manager,SRM005,"60,947","107,266",1,0,1
Water Chemist,Water Chemist,MAP005,"36,200","57,872",4,0,4
Water Production Manager,Water Production Manager,SRM005,"60,947","107,266",1,0,1
Water Quality Manager,Water Quality Manager,SRM003,"54,063","95,153",2,0,2
Water Treatment Plant,Water Treatment Plant,,,,,,
,,OPS008,"27,697","44,276",14,0,14
Maintenance Technician,Maintenance Technician,,,,,,
Water Treatment Supervisor,Water Treatment Supervisor,MAP011,"52,582","84,061",2,0,2
Waterworks Operator I,Waterworks Operator I,OPS006,"23,724","37,926",1,0,1
Waterworks Operator II,Waterworks Operator II,OPS008,"27,697","44,276",5,0,5
Waterworks Operator III,Waterworks Operator III,OPS010,"32,456","51,882",3,0,3
Waterworks Operator IV,Waterworks Operator IV,OPS011,"35,182","56,247",15,0,15
Total,Total,,,,290,,290
328,Water,,,,,,
