Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,
,,Strategic Priority: Community Building,Strategic Priority: Community Building,Strategic Priority: Community Building,Strategic Priority: Community Building,,
Goal,Goal,,,,,,
Provide high quality water that meets all drinking water standards.,Provide high quality water that meets all drinking water standards.,Provide high quality water that meets all drinking water standards.,Provide high quality water that meets all drinking water standards.,Provide high quality water that meets all drinking water standards.,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Treated water pumpage (million gal/day).,Treated water pumpage (million gal/day).,Treated water pumpage (million gal/day).,63,62,63,62,-1
Raw water pumpage (million gal/day).,Raw water pumpage (million gal/day).,Raw water pumpage (million gal/day).,7,7,7,7,0
Compliance with Safe Drinking Water Act,Compliance with Safe Drinking Water Act,Compliance with Safe Drinking Water Act,,,,,
,,,365,365,365,365,0
(days).,(days).,,,,,,
Goal,Goal,,,,,,
Provide top quality customer service.,Provide top quality customer service.,Provide top quality customer service.,,,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Number of meters replaced.,Number of meters replaced.,,"1,529","2,586","3,000","4,300","1,300"
Percentage of bills with meters accurately,Percentage of bills with meters accurately,Percentage of bills with meters accurately,,,,,
,,,99.9,99.9,99.8,99.9,0.1
read.,read.,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant I,Accountant I,OPS010,"32,456","51,882",1,0,1
Accountant II,Accountant II,OPS011,"35,182","56,247",1,0,1
Accounting Supervisor,Accounting Supervisor,MAP009,"46,289","74,003",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",23,0,23
Administrative Assistant II,Administrative Assistant II,MAP003,"32,158","51,407",2,0,2
Administrative Secretary,Administrative Secretary,OPS009,"29,968","47,912",1,0,1
Applications Development,Applications Development,,,,,,
,,ITM006,"56,672","90,598",1,0,1
Team Supervisor,Team Supervisor,,,,,,
Assistant City Engineer,Assistant City Engineer,MAP014,"64,022","102,349",1,0,1
Assistant Director of,Assistant Director of,,,,,,
Customer Services &,Customer Services &,SRM007,"69,095","121,607",1,0,1
Management,Management,,,,,,
Assistant Director of Utilities,Assistant Director of Utilities,SRM007,"69,095","121,607",1,0,1
Assistant Superintendent of,Assistant Superintendent of,,,,,,
,,MAP012,"56,106","89,693",4,0,4
Utility Division,Utility Division,,,,,,
Automotive Mechanic,Automotive Mechanic,OPS009,"29,968","47,912",1,0,1
Business Manager,Business Manager,MAP008,"43,481","69,509",1,0,1
Chief of Construction,Chief of Construction,,,,,,
,,MAP012,"56,106","89,693",1,0,1
Operations,Operations,,,,,,
Civil Engineer I,Civil Engineer I,MAP007,"40,874","65,345",3,0,3
326,Water,,,,,,
