Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”,Name: “Table 1 of 1 on page 28 of 62”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,,
E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),E STIMATED E XPENDITURES BY USE (ALL FUNDS),,
The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget,The following table compares the Approved FY 2014 Operating Budget to the FY 2013 Approved Operating Budget
and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses,and the FY 2012 Actual amount. Funding uses by category are shown to provide an overview of the principal uses
of expenditures for all operating funds of the city.,of expenditures for all operating funds of the city.,of expenditures for all operating funds of the city.,of expenditures for all operating funds of the city.,of expenditures for all operating funds of the city.,of expenditures for all operating funds of the city.,of expenditures for all operating funds of the city.,Expenditures are contained in those categories where they are,Expenditures are contained in those categories where they are,Expenditures are contained in those categories where they are,Expenditures are contained in those categories where they are,Expenditures are contained in those categories where they are,Expenditures are contained in those categories where they are,Expenditures are contained in those categories where they are
originally spent.,originally spent.,originally spent.,,,,,,,,,,,
,,,,,FY 2012,FY 2012,,FY 2013,FY 2013,FY 2014,FY 2013 vs. FY 2014,FY 2013 vs. FY 2014,FY 2013 vs. FY 2014
Uses,,,,,,,,,,,,,
,,,,,Actual,Actual,Approved,Approved,Approved,Approved,$ Change,% Change,% Change
Personnel Services,Personnel Services,Personnel Services,,,"290,040,939","290,040,939","320,215,537","320,215,537","320,215,537","324,958,568","4,743,031",,1.5%
"Materials, Supplies and Repairs","Materials, Supplies and Repairs","Materials, Supplies and Repairs","Materials, Supplies and Repairs","Materials, Supplies and Repairs","62,649,779","62,649,779","67,956,293","67,956,293","67,956,293","70,311,282","2,354,989",,3.5%
Contractual Services,Contractual Services,Contractual Services,,,"65,364,083","65,364,083","72,104,936","72,104,936","72,104,936","75,040,073","2,935,137",,4.1%
Equipment,Equipment,,,,"3,453,352","3,453,352",,"5,751,896","5,751,896","5,284,633","-467,263",,-8.1%
Department Specific,Department Specific,Department Specific,,,,,,,,,,,
,,,,,"70,297,021","70,297,021","78,263,754","78,263,754","78,263,754","86,537,568","8,273,814",10.6%,10.6%
Appropriation,Appropriation,Appropriation,,,,,,,,,,,
Education (Norfolk Public Schools),Education (Norfolk Public Schools),Education (Norfolk Public Schools),Education (Norfolk Public Schools),Education (Norfolk Public Schools),"286,229,822","286,229,822","302,033,320","302,033,320","302,033,320","311,957,882","9,924,562",,3.3%
Debt Service/Transfer to CIP,Debt Service/Transfer to CIP,Debt Service/Transfer to CIP,Debt Service/Transfer to CIP,,"119,067,923","119,067,923","143,458,560","143,458,560","143,458,560","134,736,965","-8,721,595",,-6.1%
Public Assistance 1,Public Assistance 1,Public Assistance 1,,,"17,120,493","17,120,493","14,264,219","14,264,219","14,264,219","14,314,138","49,919",,0.3%
