Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”,Name: “Table 1 of 1 on page 30 of 62”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,,,,,
E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,E STIMATED E XPENDITURES BY FUND TYPE,,,
The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the,The following table compares expenditures by fund type in the Approved FY 2014 Operating Budget with the
Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,Approved FY 2013 Operating Budget and the FY 2012 Actual amount.,,,,
,,,,FY 2012,,,FY 2013,FY 2013,FY 2014,FY 2013,vs. FY 2014,vs. FY 2014
,Fund Type,,,,,,,,,,,
,,,,Actual,,Approved,Approved,Approved,Approved,$ Change,% Change,% Change
,General Fund,General Fund,"773,743,337","773,743,337",,"799,790,809","799,790,809","799,790,809","817,500,799","17,709,990",,2.2%
,Special Revenue Funds,Special Revenue Funds,"31,224,838","31,224,838",,"60,831,546","60,831,546","60,831,546","60,991,910","160,364",,0.3%
,Enterprise Funds,Enterprise Funds,"96,420,049","96,420,049",,"129,768,060","129,768,060","129,768,060","130,992,500","1,224,440",,0.9%
,Internal Service Funds 1,Internal Service Funds 1,"12,835,188","12,835,188",,"13,658,100","13,658,100","13,658,100","13,655,900","-2,200",,0.0%
,Subtotal,,"914,223,412","914,223,412",,"1,004,048,515","1,004,048,515","1,004,048,515","1,023,141,109","19,092,594",,1.9%
,"Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their","Beginning in January 2014, the Healthcare Fund will collect premiums from Consortium members, their"
,"employees,",and,participating,retirees,in,order,to,provide,healthcare,services.,Medical,"claims,"
,"administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is","administrative costs, and wellness program expenditures will be charged to the fund. The budget impact is"
,reflected below.,reflected below.,,,,,,,,,,
,Healthcare Fund,Healthcare Fund,,0,,,,0,"57,931,973","57,931,973",,
,Total All Funds (with,Total All Funds (with,,,,,,,,,,
,,,"914,223,412","914,223,412",,"1,004,048,515","1,004,048,515","1,004,048,515","1,081,073,082","77,024,567",,7.7%
,Healthcare Fund),Healthcare Fund),,,,,,,,,,
30,Estimated Expenditures by Fund Type,Estimated Expenditures by Fund Type,Estimated Expenditures by Fund Type,Estimated Expenditures by Fund Type,,,,,,,,
