Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”,Name: “Table 1 of 1 on page 9 of 62”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,
CITY OF NORFOLK O RGANIZATIONAL CHART,CITY OF NORFOLK O RGANIZATIONAL CHART,CITY OF NORFOLK O RGANIZATIONAL CHART,CITY OF NORFOLK O RGANIZATIONAL CHART,CITY OF NORFOLK O RGANIZATIONAL CHART,CITY OF NORFOLK O RGANIZATIONAL CHART,CITY OF NORFOLK O RGANIZATIONAL CHART,
,,,Residents of Norfolk,Residents of Norfolk,Residents of Norfolk,,
,,,Cityy Council,Cityy Council,Cityy Council,,
Constitutional Officers and,Constitutional Officers and,Constitutional Officers and,,,,,
,other Local Officials,other Local Officials,,,,,
•,City Treasurer,City Treasurer,,,,,
•,Clerk of the Circuit Court,Clerk of the Circuit Court,,,,,
•,Commissioner of the Revenue,Commissioner of the Revenue,,,,,
•,Commonwealth’s Attorney,Commonwealth’s Attorney,,,,,
•,Courts,Courts,,,,,
•,Magistrate,Magistrate,,,,,
•,Norfolk Juvenile Court Service Unit,Norfolk Juvenile Court Service Unit,,,,,
•,Sheriff,Sheriff,,,,,
•,Registrar*,Registrar*,,,,,
Council Appointees,Council Appointees,Council Appointees,City Manager,City Manager,City Manager,Appointed Boards,
•,City Attorney,City Attorney,,,,• Norfolk Public Schools,
•,City Auditor,City Auditor,,,,• Norfolk Redevelopment,
•,City Clerk,City Clerk,,,,and Housing Authority,
•,City Real Estate,City Real Estate,,,,• Norfolk International,
,Assessor,Assessor,,,,Airport,
,,,City Departments,City Departments,City Departments,,
,•,Communications and Technology,Communications and Technology,•,Libraries,,
,•,"Cultural Facilities, Arts and Entertainment","Cultural Facilities, Arts and Entertainment",•,National,Maritime Center,
,•,Development,,•,Norfolk Community Services Board,Norfolk Community Services Board,
,•,Emerggencyy Prepparedness,and Respponse,•,Planningg and Communityy Developpment,Planningg and Communityy Developpment,
,•,Executive,,•,Police,,
,•,Finance,,•,Public Health,Public Health,
,•,Fire-Rescue,,•,Public Works,Public Works,
,•,General Services,,•,"Recreation, Parks and Open Space","Recreation, Parks and Open Space",
,•,Human Resources,,•,Utilities,,
,•,Human Services,,•,Zoo,,
,*Appointed by State Board of Elections,*Appointed by State Board of Elections,*Appointed by State Board of Elections,,,,
,,,,,,City of Norfolk Organizational Chart,9
