Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”,Name: “Table 1 of 1 on page 115 of 116”
Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115
,,,,,,,,,,,
,,,,,Upgrade Street Parking Meters,Upgrade Street Parking Meters,Upgrade Street Parking Meters,Upgrade Street Parking Meters,,,
Department,Department,,,,,,,Project Description,Project Description,,
Parking Facilities,Parking Facilities,,,,,,Provide funds to upgrade on street parking meters which will,Provide funds to upgrade on street parking meters which will,Provide funds to upgrade on street parking meters which will,Provide funds to upgrade on street parking meters which will,Provide funds to upgrade on street parking meters which will
,,,,,,,allow the city to accurately measure revenue received by,allow the city to accurately measure revenue received by,allow the city to accurately measure revenue received by,allow the city to accurately measure revenue received by,allow the city to accurately measure revenue received by
Account #,Account #,,,,,,individual meters.,,,,
5100 38 4183,5100 38 4183,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"340,000","340,000",0,0,0,0,"340,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"340,000","340,000",FY 2013 Approved,FY 2013 Approved,,"340,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"340,000","340,000",Project Total,,,"340,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,,Parking Facilities CIP - 481,Parking Facilities CIP - 481
