Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”,Name: “Table 1 of 1 on page 86 of 116”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,,,,,
,,,,Design and Construct 37th Street Plant,Design and Construct 37th Street Plant,Design and Construct 37th Street Plant,Design and Construct 37th Street Plant,Design and Construct 37th Street Plant,,,
Department,Department,,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,,Provide funds for necessary modifications to the 37th Street,Provide funds for necessary modifications to the 37th Street,Provide funds for necessary modifications to the 37th Street,Provide funds for necessary modifications to the 37th Street,Provide funds for necessary modifications to the 37th Street
,,,,,,,Water Treatment Plant to include a new sludge collection,Water Treatment Plant to include a new sludge collection,Water Treatment Plant to include a new sludge collection,Water Treatment Plant to include a new sludge collection,
Account #,Account #,,,,,,"system, sludge pumping station, new filters, diesel generator,","system, sludge pumping station, new filters, diesel generator,","system, sludge pumping station, new filters, diesel generator,","system, sludge pumping station, new filters, diesel generator,","system, sludge pumping station, new filters, diesel generator,"
5300 33 3054,5300 33 3054,,,,,,and various piping replacements.,and various piping replacements.,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,,0,0,"5,000,000",0,0,"5,000,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,"5,000,000",0,N/A,"5,000,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"35,000,000",
Construction,Construction,,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"5,000,000",
,,Total,,,,0,Project Total,Project Total,,"40,000,000",
,,Property Address:,Property Address:,Property Address:,37th Street,37th Street,,,,,
458 - CIP Water Utility,458 - CIP Water Utility,,,,,,,,,,
