Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”,Name: “Table 1 of 1 on page 26 of 116”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,
,,,,Improve Citywide Conduit Network,Improve Citywide Conduit Network,Improve Citywide Conduit Network,Improve Citywide Conduit Network,Improve Citywide Conduit Network,,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,Provide funds to increase utilization of an existing conduit,Provide funds to increase utilization of an existing conduit,Provide funds to increase utilization of an existing conduit,Provide funds to increase utilization of an existing conduit,Provide funds to increase utilization of an existing conduit
,,,,,,,"network, by installing additional infrastructure to create","network, by installing additional infrastructure to create","network, by installing additional infrastructure to create","network, by installing additional infrastructure to create","network, by installing additional infrastructure to create"
Account #,Account #,,,,,,end-to-end connections between city facilities which may,end-to-end connections between city facilities which may,end-to-end connections between city facilities which may,end-to-end connections between city facilities which may,end-to-end connections between city facilities which may
4000 10 3026,4000 10 3026,,,,,,"include buildings, traffic signal systems, and pump stations.","include buildings, traffic signal systems, and pump stations.","include buildings, traffic signal systems, and pump stations.","include buildings, traffic signal systems, and pump stations.","include buildings, traffic signal systems, and pump stations."
,,,,,,,Infrastructure improvements will include installation of,Infrastructure improvements will include installation of,Infrastructure improvements will include installation of,Infrastructure improvements will include installation of,Infrastructure improvements will include installation of
,,,,,,,"junction boxes, fiber optic cable, associated fiber equipment,","junction boxes, fiber optic cable, associated fiber equipment,","junction boxes, fiber optic cable, associated fiber equipment,","junction boxes, fiber optic cable, associated fiber equipment,","junction boxes, fiber optic cable, associated fiber equipment,"
,,,,,,,"service connections to city facilities, and service and","service connections to city facilities, and service and","service connections to city facilities, and service and","service connections to city facilities, and service and",
Customers Served,Customers Served,,,,,,maintenance of the conduit facilities and equipment.,maintenance of the conduit facilities and equipment.,maintenance of the conduit facilities and equipment.,maintenance of the conduit facilities and equipment.,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"85,000","85,000",0,0,0,0,"85,000"
FY 2012 Approved,FY 2012 Approved,,"85,000","85,000","85,000","85,000","85,000","85,000","85,000",N/A,"425,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"850,000",
Construction,Construction,,,,"85,000","85,000",FY 2013 Approved,FY 2013 Approved,,"85,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"85,000","85,000",Project Total,,,"935,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
"410 - CIP Accessibility, Mobility and Connectivity","410 - CIP Accessibility, Mobility and Connectivity","410 - CIP Accessibility, Mobility and Connectivity","410 - CIP Accessibility, Mobility and Connectivity","410 - CIP Accessibility, Mobility and Connectivity","410 - CIP Accessibility, Mobility and Connectivity","410 - CIP Accessibility, Mobility and Connectivity",,,,,
