Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”,Name: “Table 1 of 1 on page 113 of 116”
Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113
,,,,,,,,,,,
,,,,,Maintain Parking Facilities,Maintain Parking Facilities,Maintain Parking Facilities,Maintain Parking Facilities,,,
Department,Department,,,,,,,Project Description,Project Description,,
Parking Facilities,Parking Facilities,,,,,,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking
,,,,,,,facilities.,,,,
Account #,Account #,,,,,,,,,,
5100 38 4180,5100 38 4180,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"1,000,000","1,000,000",0,0,0,0,"1,000,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"1,000,000","1,000,000",FY 2013 Approved,FY 2013 Approved,,"1,000,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"1,000,000","1,000,000",Project Total,,,"1,000,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,,Parking Facilities CIP - 479,Parking Facilities CIP - 479
