Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”,Name: “Table 1 of 1 on page 112 of 116”
Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112
,,,,,,,,,,,
,,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,Install Light Control in MacArthur North and South Garages,,
Department,Department,,,,,,,Project Description,Project Description,,
Parking Facilities,Parking Facilities,,,,,,Provide funds for the light control system at MacArthur North,Provide funds for the light control system at MacArthur North,Provide funds for the light control system at MacArthur North,Provide funds for the light control system at MacArthur North,Provide funds for the light control system at MacArthur North
,,,,,,,Garage and MacArthur South Garage. These controls permit,Garage and MacArthur South Garage. These controls permit,Garage and MacArthur South Garage. These controls permit,Garage and MacArthur South Garage. These controls permit,Garage and MacArthur South Garage. These controls permit
Account #,Account #,,,,,,staff to alter lighting levels between day and night needs and,staff to alter lighting levels between day and night needs and,staff to alter lighting levels between day and night needs and,staff to alter lighting levels between day and night needs and,staff to alter lighting levels between day and night needs and
5100 38 4182,5100 38 4182,,,,,,to dim lighting for cooling purposes.,to dim lighting for cooling purposes.,to dim lighting for cooling purposes.,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"330,000","330,000",0,0,0,0,"330,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"330,000","330,000",FY 2013 Approved,FY 2013 Approved,,"330,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"330,000","330,000",Project Total,,,"330,000",
,,Property Address:,Property Address:,Property Address:,Downtown,Downtown,,,,,
478 - CIP Parking Facilities,478 - CIP Parking Facilities,478 - CIP Parking Facilities,478 - CIP Parking Facilities,,,,,,,,
