Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”,Name: “Table 1 of 1 on page 96 of 116”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,,,,,
,,,,Upgrade Northstar Billing System,Upgrade Northstar Billing System,Upgrade Northstar Billing System,Upgrade Northstar Billing System,Upgrade Northstar Billing System,,,
Department,Department,,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,,Upgrade the Northstar Billing System currently in use by the,Upgrade the Northstar Billing System currently in use by the,Upgrade the Northstar Billing System currently in use by the,Upgrade the Northstar Billing System currently in use by the,Upgrade the Northstar Billing System currently in use by the
,,,,,,,Department of Utilities.,Department of Utilities.,,,
Account #,Account #,,,,,,,,,,
N/A,,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,,0,"300,000",0,0,0,"300,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"300,000",
,,Total,,,,0,Project Total,,,"300,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
468 - CIP Water Utility,468 - CIP Water Utility,,,,,,,,,,
