Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”,Name: “Table 1 of 1 on page 64 of 116”
Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64
,,,,,,,,,,,
,,,,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Fire - Rescue Services,Fire - Rescue Services,,,,,,Provide funds to replace or renovate Fire/Rescue facilities.,Provide funds to replace or renovate Fire/Rescue facilities.,Provide funds to replace or renovate Fire/Rescue facilities.,Provide funds to replace or renovate Fire/Rescue facilities.,
,,,,,,,Initial funding will be utilized for conceptual design and,Initial funding will be utilized for conceptual design and,Initial funding will be utilized for conceptual design and,Initial funding will be utilized for conceptual design and,
Account #,Account #,,,,,,planning.,,,,
4000 20 4142,4000 20 4142,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,,0,0,0,"385,000","3,740,000","4,125,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"145,500",
Construction,Construction,,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"4,125,000",
,,Total,,,,0,Project Total,,,"4,270,500",
,,Property Address:,Property Address:,Property Address:,To Be Determined,To Be Determined,To Be Determined,,,,
"440 - CIP Safe, Healthy and Inclusive Communities","440 - CIP Safe, Healthy and Inclusive Communities","440 - CIP Safe, Healthy and Inclusive Communities","440 - CIP Safe, Healthy and Inclusive Communities","440 - CIP Safe, Healthy and Inclusive Communities","440 - CIP Safe, Healthy and Inclusive Communities","440 - CIP Safe, Healthy and Inclusive Communities",,,,,
