Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”,Name: “Table 1 of 1 on page 35 of 116”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,
,,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,Develop Multi-modal Transfer Station at Harbor Park,,
Department,Department,,,,,,,Project Description,Project Description,,
Executive,,,,,,,Provide funds for the design and construction of a,Provide funds for the design and construction of a,Provide funds for the design and construction of a,Provide funds for the design and construction of a,
,,,,,,,multi-modal transfer facility at the Harbor Park station in,multi-modal transfer facility at the Harbor Park station in,multi-modal transfer facility at the Harbor Park station in,multi-modal transfer facility at the Harbor Park station in,
Account #,Account #,,,,,,Downtown Norfolk that will link intercity passenger rail to the,Downtown Norfolk that will link intercity passenger rail to the,Downtown Norfolk that will link intercity passenger rail to the,Downtown Norfolk that will link intercity passenger rail to the,Downtown Norfolk that will link intercity passenger rail to the
4000 02 4154,4000 02 4154,,,,,,"light rail system, intercity and regional bus systems, ferry","light rail system, intercity and regional bus systems, ferry","light rail system, intercity and regional bus systems, ferry","light rail system, intercity and regional bus systems, ferry",
,,,,,,,"service, cruise ship facilities, and direct interstate access.","service, cruise ship facilities, and direct interstate access.","service, cruise ship facilities, and direct interstate access.","service, cruise ship facilities, and direct interstate access.",
,,,,,,,Funding will also be utilized to construct railroad safety,Funding will also be utilized to construct railroad safety,Funding will also be utilized to construct railroad safety,Funding will also be utilized to construct railroad safety,
,,,,,,,"improvements, quiet zone improvements, parking, and other","improvements, quiet zone improvements, parking, and other","improvements, quiet zone improvements, parking, and other","improvements, quiet zone improvements, parking, and other","improvements, quiet zone improvements, parking, and other"
Customers Served,Customers Served,,,,,,passenger rail-related infrastructure improvements and,passenger rail-related infrastructure improvements and,passenger rail-related infrastructure improvements and,passenger rail-related infrastructure improvements and,
,,,,,,,upgrades.,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"750,000","750,000",0,0,0,0,"750,000"
FY 2012 Approved,FY 2012 Approved,"3,000,000","3,000,000","3,000,000",,0,0,0,0,N/A,"3,000,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"3,606,000",
Construction,Construction,,,,"750,000","750,000",FY 2013 Approved,FY 2013 Approved,,"750,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"750,000","750,000",Project Total,,,"4,356,000",
,,Property Address:,Property Address:,Property Address:,Park Avenue at Harbor Park,Park Avenue at Harbor Park,Park Avenue at Harbor Park,,,,
,,,,,,,Economic Vitality and Workforce Development CIP - 417,Economic Vitality and Workforce Development CIP - 417,Economic Vitality and Workforce Development CIP - 417,Economic Vitality and Workforce Development CIP - 417,Economic Vitality and Workforce Development CIP - 417
