Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”,Name: “Table 1 of 1 on page 114 of 116”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,,,,,,,,
,,,,Upgrade Scope Garage Ventilation System,Upgrade Scope Garage Ventilation System,Upgrade Scope Garage Ventilation System,Upgrade Scope Garage Ventilation System,Upgrade Scope Garage Ventilation System,,,
Department,Department,,,,,,,Project Description,Project Description,,
Parking Facilities,Parking Facilities,,,,,,Provide funds for the Scope Garage ventilation system that is,Provide funds for the Scope Garage ventilation system that is,Provide funds for the Scope Garage ventilation system that is,Provide funds for the Scope Garage ventilation system that is,Provide funds for the Scope Garage ventilation system that is
,,,,,,,in need of repair/replacement.,in need of repair/replacement.,,,
Account #,Account #,,,,,,,,,,
5100 38 4181,5100 38 4181,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"330,000","330,000",0,0,0,0,"330,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"330,000","330,000",FY 2013 Approved,FY 2013 Approved,,"330,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"330,000","330,000",Project Total,,,"330,000",
,,Property Address:,Property Address:,Property Address:,Scope Arena,Scope Arena,,,,,
480 - CIP Parking Facilities,480 - CIP Parking Facilities,480 - CIP Parking Facilities,480 - CIP Parking Facilities,,,,,,,,
