Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”,Name: “Table 1 of 1 on page 37 of 116”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,,
,,,,,Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
"Cultural Fac., Arts & Ent.","Cultural Fac., Arts & Ent.","Cultural Fac., Arts & Ent.",,,,,Provide funds for general improvements and renovation to,Provide funds for general improvements and renovation to,Provide funds for general improvements and renovation to,Provide funds for general improvements and renovation to,Provide funds for general improvements and renovation to
,,,,,,,cultural facilities. Improvements will increase and enhance the,cultural facilities. Improvements will increase and enhance the,cultural facilities. Improvements will increase and enhance the,cultural facilities. Improvements will increase and enhance the,cultural facilities. Improvements will increase and enhance the
Account #,Account #,,,,,,cultural experience of visitors and residents. Public Amenities,cultural experience of visitors and residents. Public Amenities,cultural experience of visitors and residents. Public Amenities,cultural experience of visitors and residents. Public Amenities,cultural experience of visitors and residents. Public Amenities
4000 16 4098,4000 16 4098,,,,,,funds are used to support this project.,funds are used to support this project.,funds are used to support this project.,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"250,000","250,000","250,000","250,000","250,000","250,000","1,250,000"
FY 2012 Approved,FY 2012 Approved,,"175,000","175,000","250,000","250,000","250,000","250,000","250,000",N/A,"1,175,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"2,498,000",
Construction,Construction,,,,"250,000","250,000",FY 2013 Approved,FY 2013 Approved,,"250,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,,Total,,,"250,000","250,000",Project Total,Project Total,,"3,748,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,Economic Vitality and Workforce Development CIP - 419,Economic Vitality and Workforce Development CIP - 419,Economic Vitality and Workforce Development CIP - 419,Economic Vitality and Workforce Development CIP - 419,Economic Vitality and Workforce Development CIP - 419
