Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”,Name: “Table 1 of 1 on page 67 of 116”
Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67
,,,,,,,,,,,
,,,,,Implement RPOS Master Plan,Implement RPOS Master Plan,Implement RPOS Master Plan,Implement RPOS Master Plan,,,
Department,Department,,,,,,,Project Description,Project Description,,
Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,,,Implement the Recreation Parks and Open Space (RPOS),Implement the Recreation Parks and Open Space (RPOS),Implement the Recreation Parks and Open Space (RPOS),Implement the Recreation Parks and Open Space (RPOS),Implement the Recreation Parks and Open Space (RPOS)
,,,,,,,Master Plan. This plan serves as a guiding vision for parks and,Master Plan. This plan serves as a guiding vision for parks and,Master Plan. This plan serves as a guiding vision for parks and,Master Plan. This plan serves as a guiding vision for parks and,Master Plan. This plan serves as a guiding vision for parks and
Account #,Account #,,,,,,recreation facilities. The plan denotes proposed capital,recreation facilities. The plan denotes proposed capital,recreation facilities. The plan denotes proposed capital,recreation facilities. The plan denotes proposed capital,recreation facilities. The plan denotes proposed capital
4000 78 4190,4000 78 4190,,,,,,projects for recreational amenities to be phased in over a 20,projects for recreational amenities to be phased in over a 20,projects for recreational amenities to be phased in over a 20,projects for recreational amenities to be phased in over a 20,projects for recreational amenities to be phased in over a 20
,,,,,,,year period. Highlights of the improvements that will be,year period. Highlights of the improvements that will be,year period. Highlights of the improvements that will be,year period. Highlights of the improvements that will be,year period. Highlights of the improvements that will be
,,,,,,,completed as part of the master plan include: access to water,completed as part of the master plan include: access to water,completed as part of the master plan include: access to water,completed as part of the master plan include: access to water,completed as part of the master plan include: access to water
,,,,,,,"(boat ramp repairs), recreation facility and park improvements,","(boat ramp repairs), recreation facility and park improvements,","(boat ramp repairs), recreation facility and park improvements,","(boat ramp repairs), recreation facility and park improvements,","(boat ramp repairs), recreation facility and park improvements,"
Customers Served,Customers Served,,,,,,"development of trails and bikeways, and use of public schools","development of trails and bikeways, and use of public schools","development of trails and bikeways, and use of public schools","development of trails and bikeways, and use of public schools","development of trails and bikeways, and use of public schools"
,,,,,,,for recreational use.,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"500,000","500,000",0,0,0,0,"500,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"500,000","500,000",FY 2013 Approved,FY 2013 Approved,,"500,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"500,000","500,000",Project Total,,,"500,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 443","Safe, Healthy and Inclusive Communities CIP - 443","Safe, Healthy and Inclusive Communities CIP - 443","Safe, Healthy and Inclusive Communities CIP - 443"
