Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”,Name: “Table 1 of 1 on page 77 of 116”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,,,,
,,,,Acquire Former Shore Patrol Facility,Acquire Former Shore Patrol Facility,Acquire Former Shore Patrol Facility,Acquire Former Shore Patrol Facility,Acquire Former Shore Patrol Facility,,,
Department,Department,,,,,,,Project Description,Project Description,,
Executive,,,,,,,Provide funds for the acquisition of the former shore patrol,Provide funds for the acquisition of the former shore patrol,Provide funds for the acquisition of the former shore patrol,Provide funds for the acquisition of the former shore patrol,Provide funds for the acquisition of the former shore patrol
,,,,,,,facility from the Federal Government. The facility currently,facility from the Federal Government. The facility currently,facility from the Federal Government. The facility currently,facility from the Federal Government. The facility currently,facility from the Federal Government. The facility currently
Account #,Account #,,,,,,houses the Sheriff's administrative staff. The Sheriff's Office,houses the Sheriff's administrative staff. The Sheriff's Office,houses the Sheriff's administrative staff. The Sheriff's Office,houses the Sheriff's administrative staff. The Sheriff's Office,houses the Sheriff's administrative staff. The Sheriff's Office
4000 02 4189,4000 02 4189,,,,,,will continue to occupy the building after acquisition.,will continue to occupy the building after acquisition.,will continue to occupy the building after acquisition.,will continue to occupy the building after acquisition.,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"1,100,000","1,100,000",0,0,0,0,"1,100,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,"1,100,000","1,100,000",,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,,0,FY 2013 Approved,FY 2013 Approved,,"1,100,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"1,100,000","1,100,000",Project Total,,,"1,100,000",
,,Property Address:,Property Address:,Property Address:,East Street,East Street,,,,,
,,,,,,,,,Well-Managed Government CIP - 451,Well-Managed Government CIP - 451,Well-Managed Government CIP - 451
