Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”,Name: “Table 1 of 1 on page 39 of 116”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,,,,,,,
,,,,,Maintain USS Wisconsin BB-64,Maintain USS Wisconsin BB-64,Maintain USS Wisconsin BB-64,Maintain USS Wisconsin BB-64,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Maritime Center,Maritime Center,,,,,,Provide funds for the maintenance and long-term upkeep of,Provide funds for the maintenance and long-term upkeep of,Provide funds for the maintenance and long-term upkeep of,Provide funds for the maintenance and long-term upkeep of,Provide funds for the maintenance and long-term upkeep of
,,,,,,,the USS Wisconsin. Current maintenance repairs needed,the USS Wisconsin. Current maintenance repairs needed,the USS Wisconsin. Current maintenance repairs needed,the USS Wisconsin. Current maintenance repairs needed,
Account #,Account #,,,,,,"include the cleaning, repair and painting of the hull,","include the cleaning, repair and painting of the hull,","include the cleaning, repair and painting of the hull,","include the cleaning, repair and painting of the hull,",
4000 37 4178,4000 37 4178,,,,,,maintenance of the teak deck and repair to the main intercom,maintenance of the teak deck and repair to the main intercom,maintenance of the teak deck and repair to the main intercom,maintenance of the teak deck and repair to the main intercom,maintenance of the teak deck and repair to the main intercom
,,,,,,,"system. As part of the agreement with the U.S. Navy, the City","system. As part of the agreement with the U.S. Navy, the City","system. As part of the agreement with the U.S. Navy, the City","system. As part of the agreement with the U.S. Navy, the City","system. As part of the agreement with the U.S. Navy, the City"
,,,,,,,of Norfolk is responsible for proper annual maintenance of the,of Norfolk is responsible for proper annual maintenance of the,of Norfolk is responsible for proper annual maintenance of the,of Norfolk is responsible for proper annual maintenance of the,of Norfolk is responsible for proper annual maintenance of the
,,,,,,,ship.,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"500,000","500,000","250,000","250,000","250,000","250,000","1,500,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"500,000","500,000",FY 2013 Approved,FY 2013 Approved,,"500,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,,Total,,,"500,000","500,000",Project Total,Project Total,,"1,500,000",
,,Property Address:,Property Address:,Property Address:,1 Waterside Drive,1 Waterside Drive,1 Waterside Drive,1 Waterside Drive,,,
,,,,,,,Economic Vitality and Workforce Development CIP - 421,Economic Vitality and Workforce Development CIP - 421,Economic Vitality and Workforce Development CIP - 421,Economic Vitality and Workforce Development CIP - 421,Economic Vitality and Workforce Development CIP - 421
