Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”,Name: “Table 1 of 1 on page 81 of 116”
Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81
,,,,,,,,,,,
,,,,,Fund Preliminary Engineering,Fund Preliminary Engineering,Fund Preliminary Engineering,Fund Preliminary Engineering,,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,"Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering"
,,,,,,,and support services within the Department of Public Works,and support services within the Department of Public Works,and support services within the Department of Public Works,and support services within the Department of Public Works,and support services within the Department of Public Works
Account #,Account #,,,,,,for major capital projects. By internally supporting these,for major capital projects. By internally supporting these,for major capital projects. By internally supporting these,for major capital projects. By internally supporting these,
4000 10 3100,4000 10 3100,,,,,,"services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining"
,,,,,,,firsthand knowledge and expertise of project completion,firsthand knowledge and expertise of project completion,firsthand knowledge and expertise of project completion,firsthand knowledge and expertise of project completion,
,,,,,,,while adhering to city's policy areas.,while adhering to city's policy areas.,while adhering to city's policy areas.,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"3,359,000","3,359,000",0,0,0,0,"3,359,000"
FY 2012 Approved,FY 2012 Approved,"3,359,000","3,359,000","3,359,000","3,359,000","3,359,000","3,359,000","3,359,000","3,359,000",N/A,"16,795,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,"3,359,000","3,359,000",,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"22,674,882",
Construction,Construction,,,,,0,FY 2013 Approved,FY 2013 Approved,,"3,359,000",
Inspections / Permits,Inspections / Permits,,,,0,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"3,359,000","3,359,000",Project Total,,,"26,033,882",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Well-Managed Government CIP - 455,Well-Managed Government CIP - 455,Well-Managed Government CIP - 455
