Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”,Name: “Table 1 of 1 on page 77 of 78”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,,,,,,,
Account,,FY 2012,,FY 2013,FY 2013,FY 2014,FY 2018
Code,Revenue Description,Actual,,Adopted,Amended,Budget,
,,,Portsmouth City Public Schools,Portsmouth City Public Schools,Portsmouth City Public Schools,Portsmouth City Public Schools,
51 School General Fund,51 School General Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400000 State Funds - Schools,400000 State Funds - Schools,,0,"83,537,452","83,537,452",0,
400001 City Funds,,,0,0,0,"47,300,000",
400002 Federal Funds,,,0,0,0,"700,000",
400003 Other Funds,,,0,0,0,"1,625,000",
400004 State Sales Tax for Education,400004 State Sales Tax for Education,,0,0,0,"14,821,566",
400005 State Revenue,,,0,0,0,"69,865,727",
400300 Other Funds - Schools,400300 Other Funds - Schools,,0,"72,799,262","72,799,262",0,
,Org Code 85010,Org Code 85010,0,"156,336,714","156,336,714","134,312,293",
,51 School General Fund,51 School General Fund,0,"156,336,714","156,336,714","134,312,293",
52 School Grant Fund,52 School Grant Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400100 School Grants Fund,,,0,"700,000","700,000",0,
400101 Federal Revenue,,,0,0,0,"11,742,365",
400102 State Revenue,,,0,0,0,"3,956,431",
400103 Other Revenue,,,0,0,0,"198,889",
400104 Transfers In,,,0,0,0,"1,249,175",
,Org Code 85010,Org Code 85010,0,"700,000","700,000","17,146,860",
,52 School Grant Fund,52 School Grant Fund,0,"700,000","700,000","17,146,860",
53 School Food Services Fund,53 School Food Services Fund,53 School Food Services Fund,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400200 School Cafeteria Fund,400200 School Cafeteria Fund,,0,"7,604,000","7,604,000",0,
400201 State Revenue,,,0,0,0,"125,000",
400202 Federal Revenue,,,0,0,0,"5,756,183",
400203 Charges for Services,400203 Charges for Services,,0,0,0,"1,220,000",
400204 Donated Commodities,400204 Donated Commodities,,0,0,0,"400,000",
400205 Other Revenue,,,0,0,0,"719,321",
,Org Code 85010,Org Code 85010,0,"7,604,000","7,604,000","8,220,504",
53 School Food Services Fund,53 School Food Services Fund,53 School Food Services Fund,0,"7,604,000","7,604,000","8,220,504",
54 School Risk Mgmt Fund,54 School Risk Mgmt Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400301 Transfers In,,,0,0,0,"955,702",
,Org Code 85010,Org Code 85010,0,0,0,"955,702",
,54 School Risk Mgmt Fund,54 School Risk Mgmt Fund,0,0,0,"955,702",
55 School Print Shop Fund,55 School Print Shop Fund,,,,,,
85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,85010 Portsmouth City Public Education,,,,,
400401 Internal Charges,,,0,0,0,"576,840",
400402 External Charges,,,0,0,0,"179,671",
,Org Code 85010,Org Code 85010,0,0,0,"756,511",
,55 School Print Shop Fund,55 School Print Shop Fund,0,0,0,"756,511",
GovMax V5,,,,,18-77,,
