Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”,Name: “Table 1 of 1 on page 106 of 118”
Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106
,,,,,,,,,,,
,,,,Implement Meter Change-Out Program,Implement Meter Change-Out Program,Implement Meter Change-Out Program,Implement Meter Change-Out Program,Implement Meter Change-Out Program,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,,,Provide funds for the replacement of old and malfunctioning,Provide funds for the replacement of old and malfunctioning,Provide funds for the replacement of old and malfunctioning,Provide funds for the replacement of old and malfunctioning,Provide funds for the replacement of old and malfunctioning
,,,,,,,water meters throughout the city.,water meters throughout the city.,water meters throughout the city.,,
Account #,Account #,,,,,,,,,,
5300 33 4090,5300 33 4090,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"150,000","150,000","150,000","150,000","150,000","150,000","750,000"
FY 2013 Approved,FY 2013 Approved,,,0,"150,000","150,000","150,000","150,000","150,000",N/A,"600,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,"150,000","150,000",Prior Capital Funding,Prior Capital Funding,,"200,000",
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"150,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"600,000",
,,Total,,,"150,000","150,000",Project Total,Project Total,,"950,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
516 - CIP Water Utility,516 - CIP Water Utility,,,,,,,,,,
