Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”,Name: “Table 1 of 1 on page 76 of 118”
Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76
,,,,,,,,,,,
,,,Construct Signal Improvements in Wards Corner,Construct Signal Improvements in Wards Corner,Construct Signal Improvements in Wards Corner,Construct Signal Improvements in Wards Corner,Construct Signal Improvements in Wards Corner,Construct Signal Improvements in Wards Corner,Construct Signal Improvements in Wards Corner,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,Construct signal improvements in the Wards Corner area. FY,Construct signal improvements in the Wards Corner area. FY,Construct signal improvements in the Wards Corner area. FY,Construct signal improvements in the Wards Corner area. FY,Construct signal improvements in the Wards Corner area. FY
,,,,,,,2014 funding will provide for the design and construction of,2014 funding will provide for the design and construction of,2014 funding will provide for the design and construction of,2014 funding will provide for the design and construction of,2014 funding will provide for the design and construction of
Account #,Account #,,,,,,improvements to the Granby Street and Louisianna Drive,improvements to the Granby Street and Louisianna Drive,improvements to the Granby Street and Louisianna Drive,improvements to the Granby Street and Louisianna Drive,improvements to the Granby Street and Louisianna Drive
4000 10 4199,4000 10 4199,,,,,,intersection. This project is part of the Wards Corner,intersection. This project is part of the Wards Corner,intersection. This project is part of the Wards Corner,intersection. This project is part of the Wards Corner,
,,,,,,,Neighborhood Plan.,,,,
Wards Corner,Wards Corner,,,,,,,,,,
Neighborhood Plan,Neighborhood Plan,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"500,000","500,000",0,0,0,0,"500,000"
FY 2013 Approved,FY 2013 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,"500,000","500,000",Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"500,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,Total,,"500,000","500,000",Project Total,,,"500,000",
,,Property Address:,Property Address:,Property Address:,Wards Corner,Wards Corner,,,,,
"496 - CIP Safe, Healthy and Inclusive Communities","496 - CIP Safe, Healthy and Inclusive Communities","496 - CIP Safe, Healthy and Inclusive Communities","496 - CIP Safe, Healthy and Inclusive Communities","496 - CIP Safe, Healthy and Inclusive Communities","496 - CIP Safe, Healthy and Inclusive Communities","496 - CIP Safe, Healthy and Inclusive Communities",,,,,
