Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”,Name: “Table 1 of 1 on page 75 of 118”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,,,,,,,,
,,Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),Implement Wards Corner Neighborhood Plan (NP),,
Department,Department,,,,,,,Project Description,Project Description,,
Executive,,,,,,,Provide funds to support activities outlined in the Ward,Provide funds to support activities outlined in the Ward,Provide funds to support activities outlined in the Ward,Provide funds to support activities outlined in the Ward,
,,,,,,,Corner Neighborhood Plan. Funding for this project also,Corner Neighborhood Plan. Funding for this project also,Corner Neighborhood Plan. Funding for this project also,Corner Neighborhood Plan. Funding for this project also,
Account #,Account #,,,,,,"supports land acquisition, infrastructure improvements, and","supports land acquisition, infrastructure improvements, and","supports land acquisition, infrastructure improvements, and","supports land acquisition, infrastructure improvements, and","supports land acquisition, infrastructure improvements, and"
4000 02 3197,4000 02 3197,,,,,,redevelopment initiatives that allow the strategic revitalization,redevelopment initiatives that allow the strategic revitalization,redevelopment initiatives that allow the strategic revitalization,redevelopment initiatives that allow the strategic revitalization,redevelopment initiatives that allow the strategic revitalization
,,,,,,,of the area in accordance with the Wards Corner Plan. Norfolk,of the area in accordance with the Wards Corner Plan. Norfolk,of the area in accordance with the Wards Corner Plan. Norfolk,of the area in accordance with the Wards Corner Plan. Norfolk,of the area in accordance with the Wards Corner Plan. Norfolk
Wards Corner,Wards Corner,,,,,,,,,,
,,,,,,,Redevelopment and Housing Authority (NRHA) will provide,Redevelopment and Housing Authority (NRHA) will provide,Redevelopment and Housing Authority (NRHA) will provide,Redevelopment and Housing Authority (NRHA) will provide,Redevelopment and Housing Authority (NRHA) will provide
Neighborhood Plan,Neighborhood Plan,,,,,,support to this project in an effort to meet the goals of the,support to this project in an effort to meet the goals of the,support to this project in an effort to meet the goals of the,support to this project in an effort to meet the goals of the,support to this project in an effort to meet the goals of the
Customers Served,Customers Served,,,,,,Wards Corner Neighborhood Plan.,Wards Corner Neighborhood Plan.,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"1,000,000","1,000,000",0,0,0,0,"1,000,000"
FY 2013 Approved,FY 2013 Approved,"2,000,000","2,000,000","2,000,000",,0,0,0,0,N/A,"2,000,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"9,663,500",
Construction,Construction,,,,"1,000,000","1,000,000",FY 2014 Approved,FY 2014 Approved,,"1,000,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"1,000,000","1,000,000",Project Total,,,"10,663,500",
,,Property Address:,Property Address:,Property Address:,Wards Corner Area,Wards Corner Area,Wards Corner Area,,,,
,,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 495","Safe, Healthy and Inclusive Communities CIP - 495","Safe, Healthy and Inclusive Communities CIP - 495","Safe, Healthy and Inclusive Communities CIP - 495"
