Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”,Name: “Table 1 of 1 on page 60 of 118”
Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60
,,,,,,,,,,,
,,,Support Citywide Neighborhood Improvements,Support Citywide Neighborhood Improvements,Support Citywide Neighborhood Improvements,Support Citywide Neighborhood Improvements,Support Citywide Neighborhood Improvements,Support Citywide Neighborhood Improvements,Support Citywide Neighborhood Improvements,,
Department,Department,,,,,,,Project Description,Project Description,,
Executive,,,,,,,Provide funds for improvements to infrastructure and public,Provide funds for improvements to infrastructure and public,Provide funds for improvements to infrastructure and public,Provide funds for improvements to infrastructure and public,Provide funds for improvements to infrastructure and public
,,,,,,,"spaces, demolition, and acquisition of property in","spaces, demolition, and acquisition of property in","spaces, demolition, and acquisition of property in","spaces, demolition, and acquisition of property in",
Account #,Account #,,,,,,neighborhoods throughout the city. This project is funded,neighborhoods throughout the city. This project is funded,neighborhoods throughout the city. This project is funded,neighborhoods throughout the city. This project is funded,neighborhoods throughout the city. This project is funded
4000 02 4203,4000 02 4203,,,,,,through the Land Aquisition Fund.,through the Land Aquisition Fund.,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"500,000","500,000",0,0,0,0,"500,000"
FY 2013 Approved,FY 2013 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"500,000","500,000",FY 2014 Approved,FY 2014 Approved,,"500,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,Total,,"500,000","500,000",Project Total,,,"500,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
"480 - CIP Safe, Healthy and Inclusive Communities","480 - CIP Safe, Healthy and Inclusive Communities","480 - CIP Safe, Healthy and Inclusive Communities","480 - CIP Safe, Healthy and Inclusive Communities","480 - CIP Safe, Healthy and Inclusive Communities","480 - CIP Safe, Healthy and Inclusive Communities","480 - CIP Safe, Healthy and Inclusive Communities",,,,,
