Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”,Name: “Table 1 of 1 on page 65 of 118”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,,,,,
,,,,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,Implement Fire-Rescue Facility Plan,,,
Department,Department,,,,,,,Project Description,Project Description,,
Fire - Rescue Services,Fire - Rescue Services,,,,,,Provide funds to replace or renovate Fire-Rescue facilities. In,Provide funds to replace or renovate Fire-Rescue facilities. In,Provide funds to replace or renovate Fire-Rescue facilities. In,Provide funds to replace or renovate Fire-Rescue facilities. In,Provide funds to replace or renovate Fire-Rescue facilities. In
,,,,,,,FY 2014 funding will be utilized for planning and design of,FY 2014 funding will be utilized for planning and design of,FY 2014 funding will be utilized for planning and design of,FY 2014 funding will be utilized for planning and design of,FY 2014 funding will be utilized for planning and design of
Account #,Account #,,,,,,two fire stations. Five year funding provides for the design,two fire stations. Five year funding provides for the design,two fire stations. Five year funding provides for the design,two fire stations. Five year funding provides for the design,two fire stations. Five year funding provides for the design
4000 20 4142,4000 20 4142,,,,,,and construction of two new fire stations. There are currently,and construction of two new fire stations. There are currently,and construction of two new fire stations. There are currently,and construction of two new fire stations. There are currently,and construction of two new fire stations. There are currently
,,,,,,,two fire stations (stations 11 and 12) that are over 85 years old.,two fire stations (stations 11 and 12) that are over 85 years old.,two fire stations (stations 11 and 12) that are over 85 years old.,two fire stations (stations 11 and 12) that are over 85 years old.,two fire stations (stations 11 and 12) that are over 85 years old.
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"385,000","385,000","4,125,000","3,740,000",0,0,"8,250,000"
FY 2013 Approved,FY 2013 Approved,,,0,,0,0,"385,000","3,740,000",N/A,"4,125,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,"385,000","385,000",,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"145,500",
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"385,000",
Inspections / Permits,Inspections / Permits,,,,0,0,Capital Share Remaining,Capital Share Remaining,,"7,865,000",
,,Total,,,"385,000","385,000",Project Total,Project Total,,"8,395,500",
,,Property Address:,Property Address:,Property Address:,To Be Determined,To Be Determined,To Be Determined,,,,
,,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 485","Safe, Healthy and Inclusive Communities CIP - 485","Safe, Healthy and Inclusive Communities CIP - 485","Safe, Healthy and Inclusive Communities CIP - 485"
