Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”,Name: “Table 1 of 1 on page 63 of 118”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,,,
,,,,,Improve Street Lights,Improve Street Lights,Improve Street Lights,Improve Street Lights,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Public Works,Public Works,,,,,,Provide funds to improve the street lighting infrastructure,Provide funds to improve the street lighting infrastructure,Provide funds to improve the street lighting infrastructure,Provide funds to improve the street lighting infrastructure,Provide funds to improve the street lighting infrastructure
,,,,,,,system and help improve public safety through the,system and help improve public safety through the,system and help improve public safety through the,system and help improve public safety through the,
Account #,Account #,,,,,,"Conversion, Special Projects, and Infrastructure Expansion and","Conversion, Special Projects, and Infrastructure Expansion and","Conversion, Special Projects, and Infrastructure Expansion and","Conversion, Special Projects, and Infrastructure Expansion and","Conversion, Special Projects, and Infrastructure Expansion and"
4000 10 3024,4000 10 3024,,,,,,Repair Programs for street lights. Ongoing operational costs,Repair Programs for street lights. Ongoing operational costs,Repair Programs for street lights. Ongoing operational costs,Repair Programs for street lights. Ongoing operational costs,Repair Programs for street lights. Ongoing operational costs
,,,,,,,include the estimated electricity cost of new lights.,include the estimated electricity cost of new lights.,include the estimated electricity cost of new lights.,include the estimated electricity cost of new lights.,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"100,000","100,000","100,000","100,000","100,000","100,000","500,000"
FY 2013 Approved,FY 2013 Approved,,"100,000","100,000","100,000","100,000","100,000","100,000","100,000",N/A,"500,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,"100,000","100,000",Prior Capital Funding,Prior Capital Funding,,"2,063,500",
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"100,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"400,000",
,,Total,,,"100,000","100,000",Project Total,Project Total,,"2,563,500",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 483","Safe, Healthy and Inclusive Communities CIP - 483","Safe, Healthy and Inclusive Communities CIP - 483","Safe, Healthy and Inclusive Communities CIP - 483"
