Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”,Name: “Table 1 of 1 on page 55 of 118”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,,,
,,,Construct School Athletics Support Buildings,Construct School Athletics Support Buildings,Construct School Athletics Support Buildings,Construct School Athletics Support Buildings,Construct School Athletics Support Buildings,Construct School Athletics Support Buildings,Construct School Athletics Support Buildings,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,Provide funds to construct athletics support facilities at Lake,Provide funds to construct athletics support facilities at Lake,Provide funds to construct athletics support facilities at Lake,Provide funds to construct athletics support facilities at Lake,Provide funds to construct athletics support facilities at Lake
,,,,,,,Taylor High School and Booker T. Washington High School.,Taylor High School and Booker T. Washington High School.,Taylor High School and Booker T. Washington High School.,Taylor High School and Booker T. Washington High School.,Taylor High School and Booker T. Washington High School.
Account #,Account #,,,,,,The new facilities will provide space for home and visiting,The new facilities will provide space for home and visiting,The new facilities will provide space for home and visiting,The new facilities will provide space for home and visiting,
4000 10 4198,4000 10 4198,,,,,,sports teams during games and will also provide space for,sports teams during games and will also provide space for,sports teams during games and will also provide space for,sports teams during games and will also provide space for,
,,,,,,,"maintenance equipment, referee lockers, changing area, and","maintenance equipment, referee lockers, changing area, and","maintenance equipment, referee lockers, changing area, and","maintenance equipment, referee lockers, changing area, and","maintenance equipment, referee lockers, changing area, and"
,,,,,,,restroom facilities.,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"1,000,000","1,000,000",0,0,0,0,"1,000,000"
FY 2013 Approved,FY 2013 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"1,000,000","1,000,000",FY 2014 Approved,FY 2014 Approved,,"1,000,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"1,000,000","1,000,000",Project Total,,,"1,000,000",
,,Property Address:,Property Address:,Property Address:,Lake Taylor and Booker T. Washington High,Lake Taylor and Booker T. Washington High,Lake Taylor and Booker T. Washington High,Lake Taylor and Booker T. Washington High,Lake Taylor and Booker T. Washington High,,
,,,,,,,,,,Lifelong Learning CIP - 477,Lifelong Learning CIP - 477
