Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”,Name: “Table 1 of 1 on page 87 of 118”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,,,,,,,
,,,,,Maintain Parking Facilities,Maintain Parking Facilities,Maintain Parking Facilities,Maintain Parking Facilities,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Parking Facilities,Parking Facilities,,,,,,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking,Provide funds for the long-term maintenance of city parking
,,,,,,,facilities. Long-term improvement projects may include,facilities. Long-term improvement projects may include,facilities. Long-term improvement projects may include,facilities. Long-term improvement projects may include,
Account #,Account #,,,,,,structural and ventilation improvements for city parking,structural and ventilation improvements for city parking,structural and ventilation improvements for city parking,structural and ventilation improvements for city parking,
5100 38 4180,5100 38 4180,,,,,,facilities.,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","14,500,000"
FY 2013 Approved,FY 2013 Approved,"1,000,000","1,000,000","1,000,000",,0,0,0,0,N/A,"1,000,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"1,000,000",
Construction,Construction,,,,"2,900,000","2,900,000",FY 2014 Approved,FY 2014 Approved,,"2,900,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"11,600,000",
,,Total,,,"2,900,000","2,900,000",Project Total,Project Total,,"15,500,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,,Parking Facilities CIP - 503,Parking Facilities CIP - 503
