Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”,Name: “Table 1 of 1 on page 69 of 118”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,,,,
,,,Improve Community and Neighborhood Parks,Improve Community and Neighborhood Parks,Improve Community and Neighborhood Parks,Improve Community and Neighborhood Parks,Improve Community and Neighborhood Parks,Improve Community and Neighborhood Parks,Improve Community and Neighborhood Parks,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,,,Provide funds to improve and upgrade amenities within,Provide funds to improve and upgrade amenities within,Provide funds to improve and upgrade amenities within,Provide funds to improve and upgrade amenities within,
,,,,,,,community parks around the city such as playgrounds and,community parks around the city such as playgrounds and,community parks around the city such as playgrounds and,community parks around the city such as playgrounds and,community parks around the city such as playgrounds and
Account #,Account #,,,,,,playing fields.,playing fields.,,,
4000 78 3004,4000 78 3004,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"250,000","250,000","250,000","250,000","250,000","250,000","1,250,000"
FY 2013 Approved,FY 2013 Approved,,"550,000","550,000","250,000","250,000","250,000","250,000","250,000",N/A,"1,550,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"3,715,000",
Construction,Construction,,,,"250,000","250,000",FY 2014 Approved,FY 2014 Approved,,"250,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,,Total,,,"250,000","250,000",Project Total,Project Total,,"4,965,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 489","Safe, Healthy and Inclusive Communities CIP - 489","Safe, Healthy and Inclusive Communities CIP - 489","Safe, Healthy and Inclusive Communities CIP - 489"
