Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”,Name: “Table 1 of 1 on page 59 of 118”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,
,,Fund the Virginia Supportive Housing Program,Fund the Virginia Supportive Housing Program,Fund the Virginia Supportive Housing Program,Fund the Virginia Supportive Housing Program,Fund the Virginia Supportive Housing Program,,
Department,,,,,Project Description,Project Description,,
Executive,,,,Provide funds for the development of 80 studio apartments,Provide funds for the development of 80 studio apartments,Provide funds for the development of 80 studio apartments,Provide funds for the development of 80 studio apartments,Provide funds for the development of 80 studio apartments
,,,,that will provide support services for homeless and,that will provide support services for homeless and,that will provide support services for homeless and,that will provide support services for homeless and,
Account #,,,,low-income single adults in South Hampton Roads. The,low-income single adults in South Hampton Roads. The,low-income single adults in South Hampton Roads. The,low-income single adults in South Hampton Roads. The,low-income single adults in South Hampton Roads. The
4000 02 4200,,,,Norfolk Studios program is a regional effort with the cities of,Norfolk Studios program is a regional effort with the cities of,Norfolk Studios program is a regional effort with the cities of,Norfolk Studios program is a regional effort with the cities of,Norfolk Studios program is a regional effort with the cities of
,,,,"Chesapeake, Portsmouth, Suffolk, and Virginia Beach.","Chesapeake, Portsmouth, Suffolk, and Virginia Beach.","Chesapeake, Portsmouth, Suffolk, and Virginia Beach.","Chesapeake, Portsmouth, Suffolk, and Virginia Beach.",
,,,,Department of Housing and Urban Development (HUD) HOME,Department of Housing and Urban Development (HUD) HOME,Department of Housing and Urban Development (HUD) HOME,Department of Housing and Urban Development (HUD) HOME,Department of Housing and Urban Development (HUD) HOME
,,,,"funds in the amount of $153,000 are also used to support this","funds in the amount of $153,000 are also used to support this","funds in the amount of $153,000 are also used to support this","funds in the amount of $153,000 are also used to support this","funds in the amount of $153,000 are also used to support this"
Customers Served,,,,"project. The total city commitment for the project is $360,000.","project. The total city commitment for the project is $360,000.","project. The total city commitment for the project is $360,000.","project. The total city commitment for the project is $360,000.","project. The total city commitment for the project is $360,000."
,,,,Due to a reduction in HOME funds additional city support is,Due to a reduction in HOME funds additional city support is,Due to a reduction in HOME funds additional city support is,Due to a reduction in HOME funds additional city support is,Due to a reduction in HOME funds additional city support is
Residents,Business,City Services,,needed in FY 2014 to meet the city's commitment.,needed in FY 2014 to meet the city's commitment.,needed in FY 2014 to meet the city's commitment.,needed in FY 2014 to meet the city's commitment.,
Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,,,,
,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,,N/A,"207,000",0,0,0,0,"207,000"
FY 2013 Approved,,0,0,0,0,0,N/A,0
Estimated Operating,,N/A,0,0,0,0,0,0
Budget Impact,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,,,"207,000",FY 2014 Approved,FY 2014 Approved,,"207,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,Total,,"207,000",Project Total,,,"207,000",
,Property Address:,Property Address:,To Be Determined,To Be Determined,,,,
,,,,,"Safe, Healthy and Inclusive Communities CIP - 479","Safe, Healthy and Inclusive Communities CIP - 479","Safe, Healthy and Inclusive Communities CIP - 479","Safe, Healthy and Inclusive Communities CIP - 479"
