Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”,Name: “Table 1 of 1 on page 117 of 118”
Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117,Table: 117
,,,,,,,,,,,
,,,,Upgrade Northstar Billing System,Upgrade Northstar Billing System,Upgrade Northstar Billing System,Upgrade Northstar Billing System,Upgrade Northstar Billing System,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,,,Provide funds to upgrade the Northstar Billing System,Provide funds to upgrade the Northstar Billing System,Provide funds to upgrade the Northstar Billing System,Provide funds to upgrade the Northstar Billing System,
,,,,,,,currently in use by the Department of Utilities. Due to,currently in use by the Department of Utilities. Due to,currently in use by the Department of Utilities. Due to,currently in use by the Department of Utilities. Due to,
Account #,Account #,,,,,,compatibility issues and soon-to-be unsupported technology,compatibility issues and soon-to-be unsupported technology,compatibility issues and soon-to-be unsupported technology,compatibility issues and soon-to-be unsupported technology,compatibility issues and soon-to-be unsupported technology
5300 33 4196,5300 33 4196,,,,,,"as of June 2013, the utility billing system will be upgraded","as of June 2013, the utility billing system will be upgraded","as of June 2013, the utility billing system will be upgraded","as of June 2013, the utility billing system will be upgraded","as of June 2013, the utility billing system will be upgraded"
,,,,,,,from NorthStar version 6.2.9 to NorthStar version 6.4.,from NorthStar version 6.2.9 to NorthStar version 6.4.,from NorthStar version 6.2.9 to NorthStar version 6.4.,from NorthStar version 6.2.9 to NorthStar version 6.4.,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"300,000","300,000",0,0,"50,000","50,000","400,000"
FY 2013 Approved,FY 2013 Approved,,,0,"300,000","300,000",0,0,0,N/A,"300,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,"300,000","300,000",Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"300,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"100,000",
,,Total,,,"300,000","300,000",Project Total,,,"400,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,,Water Utility CIP - 527,Water Utility CIP - 527
