Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”,Name: “Table 1 of 1 on page 52 of 118”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,,,
,,,,Construct Camp Allen Elementary School,Construct Camp Allen Elementary School,Construct Camp Allen Elementary School,Construct Camp Allen Elementary School,Construct Camp Allen Elementary School,,,
Department,Department,,,,,,,Project Description,Project Description,,
Executive,,,,,,,Provide funds to support the required local match of up to 20,Provide funds to support the required local match of up to 20,Provide funds to support the required local match of up to 20,Provide funds to support the required local match of up to 20,Provide funds to support the required local match of up to 20
,,,,,,,percent for the construction of a new Camp Allen Elementary,percent for the construction of a new Camp Allen Elementary,percent for the construction of a new Camp Allen Elementary,percent for the construction of a new Camp Allen Elementary,percent for the construction of a new Camp Allen Elementary
Account #,Account #,,,,,,School. Camp Allen Elementary School is eligible for the,School. Camp Allen Elementary School is eligible for the,School. Camp Allen Elementary School is eligible for the,School. Camp Allen Elementary School is eligible for the,
4000 02 4197,4000 02 4197,,,,,,"Department of Defense (DOD) Program for Construction,","Department of Defense (DOD) Program for Construction,","Department of Defense (DOD) Program for Construction,","Department of Defense (DOD) Program for Construction,",
,,,,,,,"Renovation, Repair or Expansion of Public Schools Located on","Renovation, Repair or Expansion of Public Schools Located on","Renovation, Repair or Expansion of Public Schools Located on","Renovation, Repair or Expansion of Public Schools Located on","Renovation, Repair or Expansion of Public Schools Located on"
,,,,,,,Military Installations. The DOD is supporting at least 80,Military Installations. The DOD is supporting at least 80,Military Installations. The DOD is supporting at least 80,Military Installations. The DOD is supporting at least 80,
,,,,,,,percent of the total estimated cost of $28.7 million on a,percent of the total estimated cost of $28.7 million on a,percent of the total estimated cost of $28.7 million on a,percent of the total estimated cost of $28.7 million on a,
Customers Served,Customers Served,,,,,,reimbursement basis. The city's estimated total contribution,reimbursement basis. The city's estimated total contribution,reimbursement basis. The city's estimated total contribution,reimbursement basis. The city's estimated total contribution,reimbursement basis. The city's estimated total contribution
,,,,,,,will be $5.7 million after the reimbursement.,will be $5.7 million after the reimbursement.,will be $5.7 million after the reimbursement.,,
Residents,v,Business,,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"4,000,000","4,000,000","17,000,000","7,686,000",0,0,"28,686,000"
FY 2013 Approved,FY 2013 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"4,000,000","4,000,000",FY 2014 Approved,FY 2014 Approved,,"4,000,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"24,686,000",
,,Total,,,"4,000,000","4,000,000",Project Total,Project Total,,"28,686,000",
,,Property Address:,Property Address:,Property Address:,501 C Street,501 C Street,,,,,
474 - CIP Lifelong Learning,474 - CIP Lifelong Learning,474 - CIP Lifelong Learning,474 - CIP Lifelong Learning,,,,,,,,
