Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”,Name: “Table 1 of 1 on page 99 of 118”
Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99
,,,,,,,,,,,
,,,,Improve Wastewater Collection System,Improve Wastewater Collection System,Improve Wastewater Collection System,Improve Wastewater Collection System,Improve Wastewater Collection System,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Wastewater Utility,Wastewater Utility,,,,,,Provide funds for the replacement or rehabilitation of several,Provide funds for the replacement or rehabilitation of several,Provide funds for the replacement or rehabilitation of several,Provide funds for the replacement or rehabilitation of several,Provide funds for the replacement or rehabilitation of several
,,,,,,,thousand feet of gravity sanitary sewer pipe to eliminate,thousand feet of gravity sanitary sewer pipe to eliminate,thousand feet of gravity sanitary sewer pipe to eliminate,thousand feet of gravity sanitary sewer pipe to eliminate,
Account #,Account #,,,,,,"overflows. In addition, the project upgrades pump stations","overflows. In addition, the project upgrades pump stations","overflows. In addition, the project upgrades pump stations","overflows. In addition, the project upgrades pump stations","overflows. In addition, the project upgrades pump stations"
5200 34 3082,5200 34 3082,,,,,,and failing sections of force mains.,and failing sections of force mains.,and failing sections of force mains.,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","85,000,000"
FY 2013 Approved,FY 2013 Approved,"17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000",N/A,"85,000,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"139,505,000",
Construction,Construction,,,,"17,000,000","17,000,000",FY 2014 Approved,FY 2014 Approved,,"17,000,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"68,000,000",
,,Total,,,"17,000,000","17,000,000",Project Total,Project Total,,"224,505,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Wastewater Utility CIP - 511,Wastewater Utility CIP - 511,Wastewater Utility CIP - 511
