Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”,Name: “Table 1 of 1 on page 91 of 118”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,,,,
,,,,Create Citywide Flooding Reserve,Create Citywide Flooding Reserve,Create Citywide Flooding Reserve,Create Citywide Flooding Reserve,Create Citywide Flooding Reserve,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Storm Water Utility,Storm Water Utility,,,,,,Provide funds to create a citywide flooding reserve. This is in,Provide funds to create a citywide flooding reserve. This is in,Provide funds to create a citywide flooding reserve. This is in,Provide funds to create a citywide flooding reserve. This is in,Provide funds to create a citywide flooding reserve. This is in
,,,,,,,preparation for the broad citywide flooding control project.,preparation for the broad citywide flooding control project.,preparation for the broad citywide flooding control project.,preparation for the broad citywide flooding control project.,preparation for the broad citywide flooding control project.
Account #,Account #,,,,,,This project is being funded by the $1.00 Storm Water fee,This project is being funded by the $1.00 Storm Water fee,This project is being funded by the $1.00 Storm Water fee,This project is being funded by the $1.00 Storm Water fee,
4000 35 4188,4000 35 4188,,,,,,increase approved in FY 2013. Funding will be reserved to,increase approved in FY 2013. Funding will be reserved to,increase approved in FY 2013. Funding will be reserved to,increase approved in FY 2013. Funding will be reserved to,increase approved in FY 2013. Funding will be reserved to
,,,,,,,support the city's efforts in flood mitigation.,support the city's efforts in flood mitigation.,support the city's efforts in flood mitigation.,support the city's efforts in flood mitigation.,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"1,315,200","1,315,200","1,315,200","1,315,200","1,315,200","1,315,200","6,576,000"
FY 2013 Approved,FY 2013 Approved,"1,315,200","1,315,200","1,315,200",,0,0,0,0,N/A,"1,315,200"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,"1,315,200","1,315,200",,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"1,315,200",
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"1,315,200",
Inspections / Permits,Inspections / Permits,,,,0,0,Capital Share Remaining,Capital Share Remaining,,"5,260,800",
,,Total,,,"1,315,200","1,315,200",Project Total,Project Total,,"7,891,200",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Storm Water Utility CIP - 505,Storm Water Utility CIP - 505,Storm Water Utility CIP - 505
