Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”,Name: “Table 1 of 1 on page 27 of 118”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,,
,,,,Repair Terminal Blvd. Concrete Pavement,Repair Terminal Blvd. Concrete Pavement,Repair Terminal Blvd. Concrete Pavement,Repair Terminal Blvd. Concrete Pavement,Repair Terminal Blvd. Concrete Pavement,,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,Provide funds to rehabilitate failing concrete pavement along,Provide funds to rehabilitate failing concrete pavement along,Provide funds to rehabilitate failing concrete pavement along,Provide funds to rehabilitate failing concrete pavement along,Provide funds to rehabilitate failing concrete pavement along
,,,,,,,Terminal Blvd. The roadway consists of a reinforced concrete,Terminal Blvd. The roadway consists of a reinforced concrete,Terminal Blvd. The roadway consists of a reinforced concrete,Terminal Blvd. The roadway consists of a reinforced concrete,Terminal Blvd. The roadway consists of a reinforced concrete
Account #,Account #,,,,,,surface that was built by Virginia Department of,surface that was built by Virginia Department of,surface that was built by Virginia Department of,,
N/A,,,,,,,"Transportation (VDOT) in 1973. It carries over 6,000 trucks in","Transportation (VDOT) in 1973. It carries over 6,000 trucks in","Transportation (VDOT) in 1973. It carries over 6,000 trucks in","Transportation (VDOT) in 1973. It carries over 6,000 trucks in","Transportation (VDOT) in 1973. It carries over 6,000 trucks in"
,,,,,,,each direction daily. The total cost to repair the road by,each direction daily. The total cost to repair the road by,each direction daily. The total cost to repair the road by,each direction daily. The total cost to repair the road by,
,,,,,,,"replacing sections of concrete is estimated at $7.0 million, $3.5","replacing sections of concrete is estimated at $7.0 million, $3.5","replacing sections of concrete is estimated at $7.0 million, $3.5","replacing sections of concrete is estimated at $7.0 million, $3.5","replacing sections of concrete is estimated at $7.0 million, $3.5"
,,,,,,,million for each side of the road. This project is partially,million for each side of the road. This project is partially,million for each side of the road. This project is partially,million for each side of the road. This project is partially,
Customers Served,Customers Served,,,,,,funded through VDOT revenue sharing program at 50 percent,funded through VDOT revenue sharing program at 50 percent,funded through VDOT revenue sharing program at 50 percent,funded through VDOT revenue sharing program at 50 percent,funded through VDOT revenue sharing program at 50 percent
,,,,,,,of the total project cost and VDOT will match the remaining 50,of the total project cost and VDOT will match the remaining 50,of the total project cost and VDOT will match the remaining 50,of the total project cost and VDOT will match the remaining 50,of the total project cost and VDOT will match the remaining 50
Residents,v,Business,v,City Services,City Services,v,percent.,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,,0,"1,750,000","1,750,000",0,0,"3,500,000"
FY 2013 Approved,FY 2013 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,"3,500,000",
,,Total,,,,0,Project Total,Project Total,,"3,500,000",
,,Property Address:,Property Address:,Property Address:,Terminal Boulevard,Terminal Boulevard,Terminal Boulevard,,,,
,,,,,,,,"Accessibility, Mobility and Connectivity CIP - 455","Accessibility, Mobility and Connectivity CIP - 455","Accessibility, Mobility and Connectivity CIP - 455","Accessibility, Mobility and Connectivity CIP - 455"
