Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”,Name: “Table 1 of 1 on page 83 of 118”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,,,,,,,
,,,,,Fund Preliminary Engineering,Fund Preliminary Engineering,Fund Preliminary Engineering,Fund Preliminary Engineering,,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,"Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering","Provide funds for the preliminary design work, engineering"
,,,,,,,and support services within the Department of Public Works,and support services within the Department of Public Works,and support services within the Department of Public Works,and support services within the Department of Public Works,and support services within the Department of Public Works
Account #,Account #,,,,,,for major capital projects. By internally supporting these,for major capital projects. By internally supporting these,for major capital projects. By internally supporting these,for major capital projects. By internally supporting these,
4000 10 3100,4000 10 3100,,,,,,"services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining","services with city staff, a cost savings is achieved by retaining"
,,,,,,,firsthand knowledge and expertise of project completion,firsthand knowledge and expertise of project completion,firsthand knowledge and expertise of project completion,firsthand knowledge and expertise of project completion,
,,,,,,,while adhering to city's policy areas. Additional funding is,while adhering to city's policy areas. Additional funding is,while adhering to city's policy areas. Additional funding is,while adhering to city's policy areas. Additional funding is,
,,,,,,,included in FY 2014 for the purchase and implementation of a,included in FY 2014 for the purchase and implementation of a,included in FY 2014 for the purchase and implementation of a,included in FY 2014 for the purchase and implementation of a,included in FY 2014 for the purchase and implementation of a
Customers Served,Customers Served,,,,,,web based CIP project management system to replace the,web based CIP project management system to replace the,web based CIP project management system to replace the,web based CIP project management system to replace the,web based CIP project management system to replace the
,,,,,,,existing out-of-date system.,existing out-of-date system.,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"3,659,000","3,659,000",0,0,0,0,"3,659,000"
FY 2013 Approved,FY 2013 Approved,"3,359,000","3,359,000","3,359,000",,0,0,0,0,N/A,"3,359,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,"3,659,000","3,659,000",,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"26,033,882",
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"3,659,000",
Inspections / Permits,Inspections / Permits,,,,0,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"3,659,000","3,659,000",Project Total,,,"29,692,882",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Well-Managed Government CIP - 501,Well-Managed Government CIP - 501,Well-Managed Government CIP - 501
