Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”,Name: “Table 1 of 1 on page 84 of 171”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Accounting,Accounting,,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,,,,
1.,"Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority","Provide full range of accounting services for County Departments, James City Service Authority"
,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,and other agencies for which the County serves as a fiscal agent,,,,
2.,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,Prepare the Comprehensive Annual Financial Report,,,,,
3.,"Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms","Process timely and accurate payroll, including benefit reconciliations and W-2 forms",,
4.,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,Process timely and accurate vendor payments and 1099 forms,,,,
5.,"Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and","Maintain general ledger to show assets, liabilities, income and expenses including monthly and"
,annual financial statements,annual financial statements,annual financial statements,,,,,,,,,,
6.,Inventory capital assets,Inventory capital assets,Inventory capital assets,,,,,,,,,,
7.,Oversee grants to ensure fiscal compliance,Oversee grants to ensure fiscal compliance,Oversee grants to ensure fiscal compliance,Oversee grants to ensure fiscal compliance,Oversee grants to ensure fiscal compliance,Oversee grants to ensure fiscal compliance,Oversee grants to ensure fiscal compliance,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,
,,,,,,FY 13,FY 13,,FY 14,,,FY 14,
,,,,,,Adopted,Adopted,,Plan,,Adopted,,
,,Personnel,Personnel,$,,"506,502","506,502",$,"506,971",$,,"493,461",
,,Operating,Operating,,,"31,600","31,600",,"30,500",,,"32,200",
,,Capital,Capital,,,"1,500","1,500",,-,,,-,
,"Received from JCSA, etc.","Received from JCSA, etc.","Received from JCSA, etc.",,,"(371,846)","(371,846)",,"(371,823)",,,"(374,527)",
,,,Total,$,,"167,756","167,756",$,"165,648",,,"151,134",
PERSONNEL,PERSONNEL,,,,,,,,,,,,
,Full-time Personnel,Full-time Personnel,Full-time Personnel,,,,8,,8,,,8,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,,,,
,,,,,,,FY 11,,FY 12,,FY 13,,FY 14
,,,,,,,Actual,,Actual,Adopted,Adopted,Adopted,Adopted
,,# Invoices processed,# Invoices processed,# Invoices processed,# Invoices processed,,"25,385","25,385","25,500",,"25,500",,"25,500"
,,# Payroll checks issued,# Payroll checks issued,# Payroll checks issued,# Payroll checks issued,,"30,252","30,252","32,000",,"31,000",,"31,000"
,# Purchasing card transactions,# Purchasing card transactions,# Purchasing card transactions,# Purchasing card transactions,# Purchasing card transactions,,"15,773","15,773","15,500",,"15,500",,"15,500"
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,
"This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit","This Division charges for its services to the Service Authority, Regional Jail, Williamsburg Area Transit"
"Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.","Authority, Colonial Community Corrections and Regional Juvenile Detention facility.",This Division also,This Division also
provides,fiscal,agent,services,to,the,Olde,Towne,Medical,Center,and,the,County's,Economic
Development Authority.,Development Authority.,Development Authority.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,This budget provides for a continuation in the current level of service.,
,,,,,,,Page C-25,Page C-25,,,,,
