Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”,Name: “Table 1 of 1 on page 131 of 171”
Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131
,,,,,,,,,,,,,,,
,,,,,Capital Project Detail,Capital Project Detail,Capital Project Detail,,,,,,,,
,,PREVIOUSLY,PREVIOUSLY,,,,,,,,,,,,
,,FUNDED,,,,,,,,,,,,,
,,BALANCE,,,,,,,,,,,,,
,DESCRIPTION,(MEMO ONLY),(MEMO ONLY),,FY 14,,FY 15,,FY 16,,FY 17,,FY 18,,TOTAL
,Water Supply (105-286),,,,,,,,,,,,,,
1207,Desalination Plant Equipment Replacement,$,"285,460",$,"475,000",$,"290,000",$,"290,000",$,"290,000",$,"290,000",$,"1,635,000"
1211,PDA Debt Service,,"1,648,000",,"1,645,000",,"1,646,000",,"1,647,000",,"1,647,000",,"1,647,000",,"8,232,000"
XXXX,Well Abandonment,,-,,,,"100,000",,,,,,,,"100,000"
,Subtotal,$,"1,933,460",$,"2,120,000",$,"2,036,000",$,"1,937,000",$,"1,937,000",$,"1,937,000",$,"9,967,000"
,Water Distribution (105-287),,,,,,,,,,,,,,
XXXX,Water Meter Replacement,$,-,$,"150,000",$,"250,000",$,"250,000",$,"250,000",$,"250,000",$,"1,150,000"
XXXX,White Oaks/Canterbury,,-,,,,,,"2,000,000",,,,,,"2,000,000"
XXXX,Kingswood,,-,,"200,000",,"200,000",,"200,000",,"200,000",,,,"800,000"
,Subtotal,$,-,$,"350,000",$,"450,000",$,"2,450,000",$,"450,000",$,"250,000",$,"3,950,000"
,Water Transmission (105-285),,,,,,,,,,,,,,
XXXX,"College Creek 16"" Waterline Rehab",,-,,,$,"500,000",,,,,,,$,"500,000"
,Subtotal,$,-,,,$,"500,000",,,,,,,$,"500,000"
,Sewer System Improvements (105-289),,,,,,,,,,,,,,
1232,DEQ Consent Order Sewer System Imp,$,"1,708,914",$,"1,130,911",$,"3,200,000",$,"3,200,000",$,"3,200,000",$,"3,200,000",$,"13,930,911"
1223,DEQ Consent Order Sewer-MOM,,"115,000",,"150,000",,"300,000",,"300,000",,"300,000",,"300,000",,"1,350,000"
XXXX,DEQ Consent Order Sewer-Capacity,,-,,,,,,"1,140,000",,"1,140,000",,"1,140,000",,"3,420,000"
,Subtotal,$,"1,823,914",$,"1,280,911",$,"3,500,000",$,"4,640,000",$,"4,640,000",$,"4,640,000",$,"18,700,911"
,Other Projects (106-160),,,,,,,,,,,,,,
1235,Heavy Equipment/Trucks,$,"6,008",$,"160,000",$,"130,000",,,$,"120,000",$,"150,000",$,"560,000"
XXXX,Mirror Lakes Dam Mitigation,,-,,"420,000",,,,,,-,,,,"420,000"
1236,Bldg E Renovation and 119 Tewning Imp,,"11,779",,"60,000",,,,,,-,,,,"60,000"
,Subtotal,$,"17,787",$,"640,000",$,"130,000",$,-,$,"120,000",$,"150,000",$,"1,040,000"
,GRAND TOTAL,$,"3,775,161",$,"4,390,911",$,"6,616,000",$,"9,027,000",$,"7,147,000",$,"6,977,000",$,"34,157,911"
,,,,,Page E-10,Page E-10,,,,,,,,,
