Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,
WATER,WATER,,,,,,,,,,,,
MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,,,,,,,,,
The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater,The mission of the Department of Utilities is to enhance quality of life by providing excellent water and wastewater
services at the best possible value to our customers.,services at the best possible value to our customers.,services at the best possible value to our customers.,services at the best possible value to our customers.,services at the best possible value to our customers.,services at the best possible value to our customers.,services at the best possible value to our customers.,,,,,,,
D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,D EPARTMENT O VERVIEW,,,,,,,,,
"The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the","The Department of Utilities is responsible for the operation of two enterprise funds, the Water Fund and the"
"Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:","Wastewater Fund. The Department, which is comprised of eight divisions is organized as follows:",,
Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished,Water Production: Responsible for the operations and maintenance of the water treatment plants and finished
water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages,water storage facilities. Maintains raw and fresh water pump stations and raw water transmission mains. Manages
City-owned reservoirs and adjacent watershed properties.,City-owned reservoirs and adjacent watershed properties.,City-owned reservoirs and adjacent watershed properties.,City-owned reservoirs and adjacent watershed properties.,City-owned reservoirs and adjacent watershed properties.,City-owned reservoirs and adjacent watershed properties.,City-owned reservoirs and adjacent watershed properties.,,,,,,,
"Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,","Water Quality: Ensure the provision of high quality, safe, clean drinking water through compliance monitoring,"
"testing, analysis and backflow prevention.","testing, analysis and backflow prevention.","testing, analysis and backflow prevention.","testing, analysis and backflow prevention.","testing, analysis and backflow prevention.",,,,,,,,,
"Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,","Wastewater: Maintain and operate the sanitary sewer system that takes wastewater away from Norfolk homes,"
"businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation","businesses, and facilities, and conveys it to treatment plants that are operated by the Hampton Roads Sanitation"
District (HRSD).,District (HRSD).,,,,,,,,,,,,
Water Distribution:,Water Distribution:,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,Responsible for the maintenance of over 800 miles of water mains.,"Repairs, replaces and","Repairs, replaces and"
