Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”,Name: “Table 1 of 1 on page 16 of 16”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accountant III,Accountant III,MAP006,"$39,221","$62,700",1,0,1
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",6,0,6
Administrative Secretary,Administrative Secretary,OPS009,"$30,567","$48,870",1,0,1
Collection Coordinator,Collection Coordinator,MAP005,"$36,924","$59,029",1,0,1
Crew Leader I,Crew Leader I,OPS008,"$28,251","$45,161",2,0,2
Customer Service,Customer Service,,,,,,
,,OPS004,"$20,805","$33,263",40,0,40
Representative,Representative,,,,,,
Enterprise Controller,Enterprise Controller,MAP012,"$57,228","$91,486",1,0,1
Maintenance Mechanic II,Maintenance Mechanic II,OPS008,"$28,251","$45,161",2,0,2
Maintenance Supervisor II,Maintenance Supervisor II,MAP007,"$41,691","$66,652",1,0,1
Maintenance Worker I,Maintenance Worker I,OPS003,"$19,318","$30,885",12,0,12
Maintenance Worker II,Maintenance Worker II,OPS004,"$20,805","$33,263",2,0,2
Meter Monitor,Meter Monitor,OPS004,"$20,805","$33,263",9,0,9
Painter I,Painter I,OPS007,"$26,135","$41,782",1,0,1
Parking Administrator,Parking Administrator,MAP009,"$47,215","$75,483",1,0,1
Parking Manager,Parking Manager,MAP007,"$41,691","$66,652",1,0,1
Parking Supervisor,Parking Supervisor,MAP002,"$30,951","$49,478",6,0,6
Software Analyst,Software Analyst,ITM002,"$44,555","$71,228",1,0,1
Total,Total,,,,88,0,88
374,Parking Facilities Fund,,,,,,
