Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,
P OSITION S UMMARY,,,,,,,
,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013,FY 2013
,,,,Approved,,Approved,Approved
,,,,Positions,,Positions,Positions
Civil Engineer II,MAP010,"$50,303","$80,416",2,0,,2
Civil Engineer III,MAP011,"$53,634","$85,742",3,0,,3
Civil Engineer IV,MAP012,"$57,228","$91,486",2,0,,2
Civil Engineer V,MAP013,"$61,109","$97,691",1,0,,1
Collection Coordinator,MAP005,"$36,924","$59,029",2,0,,2
Construction Inspector I,OPS009,"$30,567","$48,870",7,0,,7
Construction Inspector II,OPS011,"$35,886","$57,371",5,0,,5
Construction Inspector III,MAP007,"$41,691","$66,652",2,0,,2
Contract Monitoring Specialist,MAP005,"$36,924","$59,029",1,0,,1
Crew Leader I,OPS008,"$28,251","$45,161",14,0,,14
Cross-Connection Specialist,OPS009,"$30,567","$48,870",2,0,,2
Data Quality Control Manager,OPS010,"$33,105","$52,920",1,0,,1
Director of Utilities,EXE003,"$87,791","$151,815",1,0,,1
Electronics Technician II,OPS010,"$33,105","$52,920",4,0,,4
Engineering Aide,OPS005,"$22,427","$35,853",2,0,,2
Engineering Manager,SRM006,"$66,145","$116,415",1,0,,1
Engineering Technician I,OPS009,"$30,567","$48,870",7,0,,7
Engineering Technician II,OPS010,"$33,105","$52,920",4,0,,4
Engineering Technician III,OPS011,"$35,886","$57,371",1,0,,1
Engineering Technician IV,OPS012,"$38,936","$62,242",1,0,,1
Enterprise Controller,MAP012,"$57,228","$91,486",1,0,,1
Equipment Operator II,OPS006,"$24,199","$38,684",12,0,,12
Equipment Operator III,OPS008,"$28,251","$45,161",7,0,,7
General Utility Maintenance,,,,,,,
,MAP008,"$44,351","$70,899",9,0,,9
Supervisor,,,,,,,
Maintenance Supervisor II,MAP007,"$41,691","$66,652",1,0,,1
Maintenance Worker I,OPS003,"$19,318","$30,885",6,0,,6
Maintenance Worker II,OPS004,"$20,805","$33,263",25,0,,25
Management Services,,,,,,,
,SRM004,"$58,509","$102,977",1,0,,1
Administrator,,,,,,,
Manager of Budget &,,,,,,,
,SRM004,"$58,509","$102,977",1,0,,1
Accounting,,,,,,,
Messenger/Driver,OPS003,"$19,318","$30,885",1,0,,1
Office Assistant,OPS003,"$19,318","$30,885",1,0,,1
Personnel Specialist,MAP005,"$36,924","$59,029",1,0,,1
Programmer/Analyst III,ITM002,"$44,555","$71,228",1,0,,1
Programmer/Analyst IV,ITM003,"$47,518","$75,963",2,0,,2
Programmer/Analyst V,ITM005,"$54,124","$86,522",1,0,,1
Project Coordinator,MAP008,"$44,351","$70,899",1,0,,1
Project Manager,MAP010,"$50,303","$80,416",1,0,,1
Public Information Specialist II,MAP006,"$39,221","$62,700",1,0,,1
,,,,,,Water,367
