Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”,Name: “Table 1 of 1 on page 12 of 16”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,
•,Fund Debt Service,,,FY 2013:,"$1,694,657",Positions:,0
,Support the annual debt service principal payments for wastewater related projects.,Support the annual debt service principal payments for wastewater related projects.,Support the annual debt service principal payments for wastewater related projects.,Support the annual debt service principal payments for wastewater related projects.,Support the annual debt service principal payments for wastewater related projects.,,
,Wastewater,,,Total FY 2013:,"$1,344,660",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2012,Change,FY 2013
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accounting Technician,Accounting Technician,OPS007,"$26,135","$41,782",3,0,3
Assistant Superintendent of,Assistant Superintendent of,,,,,,
,,MAP012,"$57,228","$91,486",1,0,1
Utility Division,Utility Division,,,,,,
Crew Leader I,Crew Leader I,OPS008,"$28,251","$45,161",15,0,15
Engineering Technician I,Engineering Technician I,OPS009,"$30,567","$48,870",3,0,3
Environmental Specialist II,Environmental Specialist II,OPS012,"$38,936","$62,242",1,0,1
Equipment Operator II,Equipment Operator II,OPS006,"$24,199","$38,684",6,0,6
Equipment Operator III,Equipment Operator III,OPS008,"$28,251","$45,161",19,0,19
General Utility Maintenance,General Utility Maintenance,,,,,,
,,MAP008,"$44,351","$70,899",2,0,2
Supervisor,Supervisor,,,,,,
Maintenance Worker I,Maintenance Worker I,OPS003,"$19,318","$30,885",3,0,3
Maintenance Worker II,Maintenance Worker II,OPS004,"$20,805","$33,263",26,0,26
Painter I,Painter I,OPS007,"$26,135","$41,782",1,0,1
Senior Custodian,Senior Custodian,OPS005,"$22,427","$35,853",1,0,1
Senior Utility Maintenance,Senior Utility Maintenance,,,,,,
,,OPS012,"$38,936","$62,242",5,0,5
Supervisor,Supervisor,,,,,,
Utilities System Technician,Utilities System Technician,OPS012,"$38,936","$62,242",1,0,1
Utility Maintenance Mechanic I,Utility Maintenance Mechanic I,OPS007,"$26,135","$41,782",6,0,6
Utility Maintenance Supervisor,Utility Maintenance Supervisor,OPS011,"$35,886","$57,371",11,0,11
Total,Total,,,,104,0,104
370,Wastewater,,,,,,
