Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”,Name: “Table 1 of 1 on page 41 of 54”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,,,,
S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,S UMMARY OF CHANGES IN FUND B ALANCES,
,General Fund,General Fund,General Fund,,,,,,,,,,,
,,,,,,,,,,,FY 2010,FY 2011,FY 2011,FY 2012
,,,,,,,,,,,Actual,Approved,Approved,Approved
,Operating Revenues,Operating Revenues,Operating Revenues,Operating Revenues,,,,,,,,,,
,General property taxes,General property taxes,General property taxes,General property taxes,,,,,,"256,561,095","256,561,095","251,403,800","251,403,800","246,979,300"
,Other local taxes,Other local taxes,,,,,,,,"145,065,893","145,065,893","147,748,000","147,748,000","150,730,000"
,Permits and fees,Permits and fees,,,,,,,,"3,526,259","3,526,259","4,473,000","4,473,000","4,566,300"
,Fines and forfeitures,Fines and forfeitures,Fines and forfeitures,,,,,,,"1,163,491","1,163,491","1,349,000","1,349,000","1,250,000"
