Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”,Name: “Table 1 of 1 on page 85 of 166”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
General and Capital Services,General and Capital Services,General and Capital Services,General and Capital Services,General and Capital Services,General and Capital Services,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,,,,,
1.,"Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,","Lead the divisions of Facilities Maintenance, Grounds Maintenance, Fleet and Equipment,",,
,"Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and","Stormwater and Solid Waste Management in achieving the County’s mission, vision, values and"
,"priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and","priorities, coordinate long and short term planning, and ensure services are provided efficiently and"
,effectively,,,,,,,,,,,,,,
2.,"Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on","Develop work plans, schedules, budgets and status reports to ensure projects are on budget and on"
,time,,,,,,,,,,,,,,
3.,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,Oversee value engineering review and incorporate cost savings,,,,,,
4.,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,Manage project construction contracts to meet specifications,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,,,
,,,,,,FY 11,,,FY 12,FY 12,,FY 12,FY 12,,
,,,,,,Adopted,,,Plan,,,Adopted,Adopted,,
,,Personnel,Personnel,Personnel,$,"580,305","580,305",$,"584,540","584,540",$,"709,463","709,463",,
,,Operating,Operating,Operating,,"438,650","438,650",,"442,650","442,650",,"493,640","493,640",,
,,,Total,Total,$,"1,018,955","1,018,955",$,"1,027,190","1,027,190",$,"1,203,103","1,203,103",,
PERSONNEL,PERSONNEL,,,,,,,,,,,,,,
,,Full-time Personnel,Full-time Personnel,Full-time Personnel,,5.5,,,,5.5,,,7,,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,,,,,
,,,,,,FY 09,FY 09,,FY 10,FY 10,FY 11,FY 11,,FY 12,FY 12
,,,,,,Actual,Actual,,Actual,Actual,Adopted,Adopted,,Adopted,Adopted
,% Capital Projects on budget on time,% Capital Projects on budget on time,% Capital Projects on budget on time,% Capital Projects on budget on time,% Capital Projects on budget on time,100%,100%,100%,89%,89%,,90%,,90%,90%
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,
This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time,This budget reflects the transfer in FY 2011 from the Stormwater Division of one half of a full-time
