Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”,Name: “Table 1 of 1 on page 65 of 166”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Courts/Judicial,Courts/Judicial,Courts/Judicial,,,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,,,,,
This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,This activity provides for local contributions to the various Courts.,Probation and Juvenile services,Probation and Juvenile services,Probation and Juvenile services,Probation and Juvenile services,Probation and Juvenile services
activities are also included.,activities are also included.,activities are also included.,activities are also included.,activities are also included.,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal,All are State or regional activities primarily supported with State and Federal
financial assistance.,financial assistance.,financial assistance.,,,,,,,,,,,,,
,,,,,,,FY 11,FY 11,,FY 12,,,FY 12,,
,,,,,,,Adopted,Adopted,,Plan,,,Adopted,,
City/County Court Services Unit,City/County Court Services Unit,City/County Court Services Unit,City/County Court Services Unit,City/County Court Services Unit,City/County Court Services Unit,$,"91,770","91,770",$,"91,770",,$,"95,350",,
,,,Circuit Court,Circuit Court,Circuit Court,,"121,523","121,523",,"122,527",,,"126,297",,
,,General District Court,General District Court,General District Court,General District Court,,"46,500","46,500",,"42,714",,,"46,752",,
,Juvenile and Domestic Court,Juvenile and Domestic Court,Juvenile and Domestic Court,Juvenile and Domestic Court,Juvenile and Domestic Court,,"23,505","23,505",,"23,505",,,"23,624",,
9th Judicial District Court Services,9th Judicial District Court Services,9th Judicial District Court Services,9th Judicial District Court Services,9th Judicial District Court Services,9th Judicial District Court Services,,"9,044","9,044",,"9,319",,,"9,300",,
,,,,Magistrates,Magistrates,,"2,000","2,000",,"2,000",,,"6,000",,
,,,,,Total,$,"294,342","294,342",$,"291,835",,$,"307,323",,
PERSONNEL,PERSONNEL,,,,,,,,,,,,,,
,,Full-time Personnel,Full-time Personnel,Full-time Personnel,Full-time Personnel,,,2,,,2,,,2,
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,
The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and,The City of Williamsburg contributes 17.4 percent per the Courthouse agreement to the Juvenile and
Domestic,Relations,Relations,Court;,Court;,the,General,District,Court;,the,Circuit,Court,with,two,locally,funded
