Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,Revenue from the Commonwealth,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,
This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-
Categorical,"Aid,",Shared,Expenses,Expenses,"(Categorical),","(Categorical),",and,Categorical,Aid.,Non-Categorical,Non-Categorical,,Aid,includes,includes
revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,revenues which are raised by the State and shared with the local government.,The use of such revenues is,The use of such revenues is,The use of such revenues is,The use of such revenues is,The use of such revenues is
at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from,at the discretion of the local government. Shared Expenses (Categorical) includes revenues received from
the,Commonwealth,for,the,State's,share,of,expenditures,in,activities,that,are,considered,to,be,joint
responsibilities.,Categorical,Categorical,Categorical,Aid,includes,includes,revenues,received,from,the,"Commonwealth,","Commonwealth,",which,which,are
designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,designated by the Commonwealth for a specific use by the local government.,,,,,
Change,,,,,,,,,,,,,,,
