Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2013,Change,FY 2014
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Programmer/Analyst V,Programmer/Analyst V,ITM005,"$55,206","$88,252",1,0,1
Project Coordinator,Project Coordinator,MAP008,"$45,238","$72,317",1,0,1
Project Manager,Project Manager,MAP010,"$51,309","$82,024",1,-1,0
Public Information Specialist II,Public Information Specialist II,MAP006,"$40,005","$63,954",1,0,1
Reservoir Manager,Reservoir Manager,MAP005,"$37,662","$60,210",1,0,1
Safety Specialist,Safety Specialist,OPS011,"$36,604","$58,518",1,0,1
Senior Codes Specialist,Senior Codes Specialist,OPS012,"$39,715","$63,487",1,-1,0
Senior Utility Maintenance,Senior Utility Maintenance,,,,,,
,,OPS012,"$39,715","$63,487",6,0,6
Supervisor,Supervisor,,,,,,
Senior Water Chemist,Senior Water Chemist,MAP007,"$42,525","$67,985",2,1,3
Staff Technician II,Staff Technician II,OPS009,"$31,178","$49,847",3,0,3
Storekeeper I,Storekeeper I,OPS005,"$22,876","$36,570",0,1,1
Storekeeper II,Storekeeper II,OPS007,"$26,658","$42,618",0,1,1
Storekeeper III,Storekeeper III,OPS008,"$28,816","$46,064",0,2,2
Support Technician,Support Technician,OPS006,"$24,683","$39,458",4,0,4
Utility Construction Inspector,Utility Construction Inspector,OPS011,"$36,604","$58,518",1,0,1
Utility Customer Service Manager,Utility Customer Service Manager,SRM004,"$59,679","$105,037",1,0,1
Utility Maintenance Mechanic I,Utility Maintenance Mechanic I,OPS007,"$26,658","$42,618",27,0,27
Utility Maintenance Mechanic II,Utility Maintenance Mechanic II,OPS008,"$28,816","$46,064",3,0,3
Utility Maintenance Mechanic III,Utility Maintenance Mechanic III,OPS009,"$31,178","$49,847",2,-2,0
Utility Maintenance Supervisor,Utility Maintenance Supervisor,OPS011,"$36,604","$58,518",11,1,12
Utility Operations Manager,Utility Operations Manager,SRM005,"$63,409","$111,599",1,0,1
Water Chemist,Water Chemist,MAP005,"$37,662","$60,210",4,0,4
Water Production Manager,Water Production Manager,SRM005,"$63,409","$111,599",1,0,1
Water Quality Manager,Water Quality Manager,SRM003,"$56,247","$98,997",2,0,2
Water Treatment Plant Maintenance,Water Treatment Plant Maintenance,,,,,,
,,OPS008,"$28,816","$46,064",14,0,14
Technician,Technician,,,,,,
Water Treatment Supervisor,Water Treatment Supervisor,MAP011,"$54,707","$87,457",2,0,2
Waterworks Operator I,Waterworks Operator I,OPS006,"$24,683","$39,458",1,0,1
Waterworks Operator II,Waterworks Operator II,OPS008,"$28,816","$46,064",5,0,5
Waterworks Operator III,Waterworks Operator III,OPS010,"$33,767","$53,978",2,0,2
Waterworks Operator IV,Waterworks Operator IV,OPS012,"$39,715","$63,487",16,0,16
Total,Total,,,,289,4,293
408,Water,,,,,,
