Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”,Name: “Table 1 of 1 on page 11 of 20”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,
POSITION S UMMARY,,,,,,,
,Pay Grade,Minimum,Maximum,FY 2013,Change,FY 2014,FY 2014
,,,,Approved,,Approved,Approved
,,,,Positions,,Positions,Positions
Business Manager,MAP008,"$45,238","$72,317",1,0,,1
Chief of Construction Operations,MAP012,"$58,373","$93,316",1,0,,1
Civil Engineer I,MAP007,"$42,525","$67,985",3,0,,3
Civil Engineer II,MAP010,"$51,309","$82,024",3,0,,3
Civil Engineer III,MAP011,"$54,707","$87,457",2,0,,2
Civil Engineer IV,MAP012,"$58,373","$93,316",2,0,,2
Civil Engineer V,MAP013,"$62,331","$99,645",1,0,,1
Collection Coordinator,MAP005,"$37,662","$60,210",2,0,,2
Construction Inspector I,OPS009,"$31,178","$49,847",7,0,,7
Construction Inspector II,OPS011,"$36,604","$58,518",5,0,,5
Construction Inspector III,MAP007,"$42,525","$67,985",2,0,,2
Contract Monitoring Specialist,MAP005,"$37,662","$60,210",1,0,,1
Crew Leader I,OPS008,"$28,816","$46,064",14,-3,,11
Cross-Connection Specialist,OPS009,"$31,178","$49,847",2,0,,2
Data Quality Control Manager,OPS010,"$33,767","$53,978",1,-1,,0
Director of Utilities,EXE003,"$89,547","$154,851",1,0,,1
Electrician III,OPS010,"$33,767","$53,978",0,3,,3
Electronics Technician II,OPS010,"$33,767","$53,978",4,0,,4
Engineering Aide,OPS005,"$22,876","$36,570",2,0,,2
Engineering Manager,SRM006,"$67,468","$118,743",1,0,,1
Engineering Technician I,OPS009,"$31,178","$49,847",7,0,,7
Engineering Technician II,OPS010,"$33,767","$53,978",4,0,,4
Engineering Technician III,OPS011,"$36,604","$58,518",1,0,,1
Engineering Technician IV,OPS012,"$39,715","$63,487",1,0,,1
Enterprise Controller,MAP012,"$58,373","$93,316",1,0,,1
Equipment Operator II,OPS006,"$24,683","$39,458",12,0,,12
Equipment Operator III,OPS008,"$28,816","$46,064",7,2,,9
Financial Operations Manager,MAP011,"$54,707","$87,457",0,1,,1
General Utility Maintenance,,,,,,,
,MAP008,"$45,238","$72,317",9,0,,9
Supervisor,,,,,,,
Maintenance Supervisor II,MAP007,"$42,525","$67,985",1,0,,1
Maintenance Worker I,OPS003,"$19,704","$31,503",6,0,,6
Maintenance Worker II,OPS004,"$21,221","$33,928",25,0,,25
Management Services Administrator,SRM004,"$59,679","$105,037",1,0,,1
Manager of Budget & Accounting,SRM004,"$59,679","$105,037",1,0,,1
Messenger/Driver,OPS003,"$19,704","$31,503",1,0,,1
Office Assistant,OPS003,"$19,704","$31,503",1,0,,1
Personnel Specialist,MAP005,"$37,662","$60,210",1,0,,1
Programmer/Analyst III,ITM002,"$45,446","$72,653",1,0,,1
Programmer/Analyst IV,ITM003,"$48,468","$77,482",2,0,,2
,,,,,,Water,407
